,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,29619,472,140,82,144
External Position,378,1321,6,0,2
Global Position,268,17,348,0,8
Altitude,366,10,0,195,0
Mechanical/Electrical,362,16,4,0,301
