,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,29603,500,136,77,141
External Position,366,1330,8,0,3
Global Position,271,11,353,0,6
Altitude,376,6,0,189,0
Mechanical/Electrical,359,16,4,0,304
