,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,29564,507,149,84,153
External Position,368,1324,12,0,3
Global Position,265,15,356,0,5
Altitude,368,11,0,192,0
Mechanical/Electrical,350,17,15,0,301
