,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,29586,497,142,89,143
External Position,380,1313,11,0,3
Global Position,271,15,348,0,7
Altitude,372,10,0,189,0
Mechanical/Electrical,360,15,8,0,300
