mode,module,rank_before,mean_abs_shap_before,rank_after,mean_abs_shap_after,rank_change_after_minus_before
consumer_only,src/platforms/qurt/fc_addon/uart_esc,13,0.1337962033907661,,,
consumer_only,src/templates/module,24,0.026261843101168,,,
bidirectional,src/drivers/batt_smbus,32,0.0180355598834253,25.0,0.022197612164215806,-7.0
bidirectional,src/drivers/blinkm,31,0.0190636653296597,24.0,0.023462972713427427,-7.0
bidirectional,src/drivers/camera_trigger,25,0.0929326986026071,21.0,0.09293269860260714,-4.0
bidirectional,src/drivers/distance_sensor,34,0.0020849716311141,27.0,0.00375294893600544,-7.0
bidirectional,src/drivers/linux_pwm_out,28,0.058690594061409,,,
bidirectional,src/drivers/mkblctrl,15,0.1438336325828056,7.0,0.28521487755766034,-8.0
bidirectional,src/drivers/pwm_out_sim,28,0.058690594061409,,,
bidirectional,src/drivers/px4flow,34,0.0020849716311141,27.0,0.00375294893600544,-7.0
bidirectional,src/drivers/px4fmu,28,0.058690594061409,17.0,0.1291193069350999,-11.0
bidirectional,src/drivers/px4io,15,0.1438336325828056,7.0,0.28521487755766034,-8.0
bidirectional,src/drivers/snapdragon_pwm_out,28,0.058690594061409,,,
bidirectional,src/drivers/tap_esc,28,0.058690594061409,17.0,0.1291193069350999,-11.0
bidirectional,src/drivers/telemetry,14,0.1495364609646335,13.0,0.1709355428010429,-1.0
bidirectional,src/drivers/vmount,26,0.0866745209306891,20.0,0.10423628315549896,-6.0
bidirectional,src/examples/fixedwing_control,21,0.1086239726462087,,,
bidirectional,src/examples/hwtest,27,0.0851430385213966,,,
bidirectional,src/examples/px4_simple_app,29,0.0375400970323666,,,
bidirectional,src/examples/rover_steering_control,19,0.1201852112237453,,,
bidirectional,src/examples/uuv_example_app,18,0.1226831355537632,,,
bidirectional,src/modules/attitude_estimator_q,29,0.0375400970323666,22.0,0.05453987148500835,-7.0
bidirectional,src/modules/camera_feedback,33,0.0160531344950473,26.0,0.020774644640649476,-7.0
bidirectional,src/modules/commander,2,0.8968426383124577,2.0,0.9310819722280745,0.0
bidirectional,src/modules/ekf2,1,1.073070699097095,1.0,1.100256163559591,0.0
