scope,mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank,mapped_topic_degree,degree_normalized_score,degree_normalized_share,degree_normalized_rank
all,producer_only,src/modules/position_estimator_inav,0.5111298423143392,0.02094187827462309,5,0.07082920608438636,5,1,0.5111298423143392,0.15832053170908825,1
all,producer_only,src/modules/load_mon,0.47873457656963286,0.027503391073075204,5,0.06634007091043352,6,1,0.47873457656963286,0.14828622090787125,2
all,producer_only,src/modules/ekf2,1.6724655557053985,0.1023694441702087,5,0.23175991246710304,2,4,0.4181163889263496,0.1295099670005054,3
all,producer_only,src/modules/sensors,0.8968698899464475,0.0443541947949719,5,0.1242826714602802,3,4,0.22421747248661186,0.0694505124212983,4
all,producer_only,src/modules/vtol_att_control,0.5855552472345377,0.020956133398646853,5,0.08114261748517233,4,3,0.19518508241151256,0.060457839614984965,5
all,producer_only,src/modules/mavlink,1.8561665967036205,0.07222297271123548,5,0.25721606433619604,1,10,0.18561665967036206,0.05749405693084921,6
all,producer_only,src/drivers/mkblctrl,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,7,1,0.1291193069350999,0.03999421602016779,7
all,producer_only,src/drivers/px4fmu,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,7,1,0.1291193069350999,0.03999421602016779,7
all,producer_only,src/drivers/px4io,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,7,1,0.1291193069350999,0.03999421602016779,7
all,producer_only,src/drivers/tap_esc,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,7,1,0.1291193069350999,0.03999421602016779,7
all,producer_only,src/modules/uavcan,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,7,1,0.1291193069350999,0.03999421602016779,7
all,producer_only,src/modules/attitude_estimator_q,0.1177229862970137,0.010083798997527108,5,0.016313321913559213,8,1,0.1177229862970137,0.036464248889351236,8
all,producer_only,src/modules/fw_att_control,0.07278124608196865,0.006102473556984853,5,0.010085574057810352,9,1,0.07278124608196865,0.022543715166333213,9
all,producer_only,src/modules/mc_att_control,0.07278124608196865,0.006102473556984853,5,0.010085574057810352,9,1,0.07278124608196865,0.022543715166333213,9
all,producer_only,src/drivers/telemetry,0.07214223953370136,0.005095979116164128,5,0.009997024490264926,10,1,0.07214223953370136,0.02234578530954929,10
all,producer_only,src/modules/syslink,0.07214223953370136,0.005095979116164128,5,0.009997024490264926,10,1,0.07214223953370136,0.02234578530954929,10
all,producer_only,src/modules/gnd_pos_control,0.06496516969364348,0.0010219525891271963,5,0.009002470628017794,11,1,0.06496516969364348,0.020122715124395774,11
all,producer_only,src/modules/navigator,0.06496516969364348,0.0010219525891271963,5,0.009002470628017794,11,1,0.06496516969364348,0.020122715124395774,11
all,producer_only,src/modules/commander,0.0164496871397511,0.000947458345406521,5,0.0022794957053761224,12,1,0.0164496871397511,0.005095228254764893,12
all,producer_only,src/modules/land_detector,0.00652059209851971,0.0007565887495678394,5,0.0009035832450069355,13,1,0.00652059209851971,0.0020197286924617487,13
all,producer_only,src/drivers/distance_sensor,0.0046911861700068,0.000212737832832102,5,0.0006500755082331714,14,1,0.0046911861700068,0.0014530771387146649,14
all,producer_only,src/drivers/px4flow,0.0046911861700068,0.000212737832832102,5,0.0006500755082331714,14,1,0.0046911861700068,0.0014530771387146649,14
all,consumer_only,src/drivers/mkblctrl,0.2341433559338407,0.008247594475165763,5,0.039265972055092836,7,1,0.2341433559338407,0.11171473254002949,1
all,consumer_only,src/drivers/px4io,0.2341433559338407,0.008247594475165763,5,0.039265972055092836,7,1,0.2341433559338407,0.11171473254002949,1
all,consumer_only,src/modules/sensors,0.2341433559338407,0.008247594475165763,5,0.039265972055092836,7,1,0.2341433559338407,0.11171473254002949,1
all,consumer_only,src/modules/commander,1.65389555228349,0.09523922207400924,5,0.27735921132161334,1,8,0.20673694403543624,0.09863855549925432,2
all,consumer_only,src/drivers/camera_trigger,0.11358440940318648,0.004653750727694016,5,0.019048169134382606,15,1,0.11358440940318648,0.05419351690158398,3
all,consumer_only,src/modules/gnd_pos_control,0.10200866929592714,0.003421254282029484,5,0.017106911028826558,16,1,0.10200866929592714,0.04867048719665069,4
all,consumer_only,src/modules/events,0.26959499135994286,0.015658241183559685,5,0.045211231190876305,5,3,0.08986499711998096,0.04287648512565896,5
all,consumer_only,src/modules/land_detector,0.4031818226186566,0.016073464126815012,5,0.06761381768414923,2,5,0.08063636452373132,0.03847330990811601,6
all,consumer_only,src/modules/landing_target_estimator,0.1388107636096894,0.006596467131057059,5,0.023278642877162234,12,2,0.0694053818048447,0.03311477122313779,7
all,consumer_only,src/modules/wind_estimator,0.1388107636096894,0.006596467131057059,5,0.023278642877162234,12,2,0.0694053818048447,0.03311477122313779,7
all,consumer_only,src/drivers/vmount,0.12723502350243007,0.005353263335897669,5,0.021337384771606186,13,2,0.06361751175121504,0.03035325637067114,8
all,consumer_only,src/modules/vtol_att_control,0.3076476289131228,0.010212327366984115,5,0.05159267984153942,3,5,0.061529525782624564,0.02935703423531263,9
all,consumer_only,src/modules/gnd_att_control,0.2210570890095541,0.0078952881272158,5,0.037071397755492744,9,4,0.05526427225238852,0.02636774965948395,10
