scope,mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank
all,bidirectional,src/modules/ekf2,1.100256163559591,0.06648171049730901,5,0.1524666808760744,1
all,bidirectional,src/modules/commander,0.9310819722280745,0.05297906639048452,5,0.12902356981113622,2
all,bidirectional,src/modules/mavlink,0.47706060130242867,0.01835668026568734,5,0.06610810179150257,3
all,bidirectional,src/modules/vtol_att_control,0.4179882097942641,0.015226860380604263,5,0.0579222158469754,4
all,bidirectional,src/modules/sensors,0.3601860734812655,0.01659448524766072,5,0.049912353995643005,5
all,bidirectional,src/modules/land_detector,0.29471490704558223,0.01194251690201119,5,0.04083976547476712,6
all,bidirectional,src/drivers/mkblctrl,0.28521487755766034,0.01224217080617843,5,0.03952331025986313,7
all,bidirectional,src/drivers/px4io,0.28521487755766034,0.01224217080617843,5,0.03952331025986313,7
all,bidirectional,src/modules/mc_att_control,0.26375513889815483,0.01423837573138115,5,0.036549552662089334,8
all,bidirectional,src/modules/fw_att_control,0.23905247652788617,0.012378922544824504,5,0.033126410792824836,9
all,bidirectional,src/modules/position_estimator_inav,0.21049903226817065,0.011379830697945594,5,0.029169651432555153,10
all,bidirectional,src/modules/fw_pos_control_l1,0.19988336277365543,0.00772768612592732,5,0.027698597739140903,11
all,bidirectional,src/modules/mc_pos_control,0.19988336277365543,0.00772768612592732,5,0.027698597739140903,11
all,bidirectional,src/modules/events,0.18304116490330505,0.010629589888152187,5,0.02536471032910111,12
all,bidirectional,src/drivers/telemetry,0.1709355428010429,0.008996450775975693,5,0.023687188236517994,13
all,bidirectional,src/modules/gnd_att_control,0.1635568494303682,0.006234560049360844,5,0.02266469463485581,14
all,bidirectional,src/modules/load_mon,0.15957819218987762,0.009167797024358413,5,0.022113356970144507,15
all,bidirectional,src/modules/navigator,0.13277003372880988,0.004310167330694923,5,0.01839844850034299,16
all,bidirectional,src/drivers/px4fmu,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,17
all,bidirectional,src/drivers/tap_esc,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,17
all,bidirectional,src/modules/uavcan,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,17
all,bidirectional,src/modules/gnd_pos_control,0.12058459262550289,0.0030519216611151314,5,0.016709865585232166,18
all,bidirectional,src/modules/landing_target_estimator,0.1137073432432566,0.005407862751124555,5,0.015756858984045937,19
all,bidirectional,src/modules/wind_estimator,0.1137073432432566,0.005407862751124555,5,0.015756858984045937,19
all,bidirectional,src/drivers/vmount,0.10423628315549896,0.004390743985962221,5,0.014444418169093793,20
all,bidirectional,src/drivers/camera_trigger,0.09293269860260714,0.0038076142317496476,5,0.01287803746988843,21
all,bidirectional,src/modules/attitude_estimator_q,0.05453987148500835,0.004044533865395197,5,0.007557797407672964,22
all,bidirectional,src/modules/sdlog2,0.03376522684435888,0.0022916648699076044,5,0.004678975893515456,23
all,bidirectional,src/drivers/blinkm,0.023462972713427427,0.0015308081635293275,5,0.003251353358956602,24
all,bidirectional,src/modules/gpio_led,0.023462972713427427,0.0015308081635293275,5,0.003251353358956602,24
all,bidirectional,src/drivers/batt_smbus,0.022197612164215806,0.0015679935742043476,5,0.0030760075354661315,25
all,bidirectional,src/modules/syslink,0.022197612164215806,0.0015679935742043476,5,0.0030760075354661315,25
all,bidirectional,src/modules/camera_feedback,0.020774644640649476,0.0017794939407400768,5,0.0028788215141575084,26
all,bidirectional,src/drivers/distance_sensor,0.00375294893600544,0.0001701902662656817,5,0.0005200604065865371,27
all,bidirectional,src/drivers/px4flow,0.00375294893600544,0.0001701902662656817,5,0.0005200604065865371,27
all,bidirectional,src/modules/logger,0.001265360549211623,7.288141118511696e-05,5,0.00017534582349047095,28
all,consumer_only,src/modules/commander,1.65389555228349,0.09523922207400924,5,0.27735921132161334,1
all,consumer_only,src/modules/land_detector,0.4031818226186566,0.016073464126815012,5,0.06761381768414923,2
all,consumer_only,src/modules/vtol_att_control,0.3076476289131228,0.010212327366984115,5,0.05159267984153942,3
all,consumer_only,src/modules/mc_att_control,0.2747312619444128,0.01184106874359413,5,0.046072586647377824,4
all,consumer_only,src/modules/events,0.26959499135994286,0.015658241183559685,5,0.045211231190876305,5
all,consumer_only,src/modules/fw_pos_control_l1,0.24405326648112524,0.009442252970974969,5,0.040927869609547016,6
all,consumer_only,src/modules/mc_pos_control,0.24405326648112524,0.009442252970974969,5,0.040927869609547016,6
all,consumer_only,src/drivers/mkblctrl,0.2341433559338407,0.008247594475165763,5,0.039265972055092836,7
all,consumer_only,src/drivers/px4io,0.2341433559338407,0.008247594475165763,5,0.039265972055092836,7
all,consumer_only,src/modules/sensors,0.2341433559338407,0.008247594475165763,5,0.039265972055092836,7
all,consumer_only,src/modules/fw_att_control,0.2242909225850628,0.007998249929259902,5,0.03761371345905098,8
all,consumer_only,src/modules/gnd_att_control,0.2210570890095541,0.0078952881272158,5,0.037071397755492744,9
all,consumer_only,src/drivers/telemetry,0.20843123133656788,0.01098045834317054,5,0.034954034345449456,10
all,consumer_only,src/modules/position_estimator_inav,0.17598760248339637,0.01229880196616973,5,0.02951321959828919,11
all,consumer_only,src/modules/landing_target_estimator,0.1388107636096894,0.006596467131057059,5,0.023278642877162234,12
all,consumer_only,src/modules/wind_estimator,0.1388107636096894,0.006596467131057059,5,0.023278642877162234,12
all,consumer_only,src/drivers/vmount,0.12723502350243007,0.005353263335897669,5,0.021337384771606186,13
all,consumer_only,src/modules/navigator,0.11681824297869518,0.004637394423777347,5,0.019590484837940833,14
all,consumer_only,src/drivers/camera_trigger,0.11358440940318648,0.004653750727694016,5,0.019048169134382606,15
all,consumer_only,src/modules/gnd_pos_control,0.10200866929592714,0.003421254282029484,5,0.017106911028826558,16
all,consumer_only,src/modules/ekf2,0.10169171617918933,0.00614428288701308,5,0.017053757813459997,17
all,consumer_only,src/modules/attitude_estimator_q,0.03939276465175202,0.0026736090148922046,5,0.006606188716393065,18
all,consumer_only,src/modules/sdlog2,0.03939276465175202,0.0026736090148922046,5,0.006606188716393065,18
all,consumer_only,src/drivers/blinkm,0.030227703075126466,0.0019978766671723634,5,0.0050692027518941625,19
all,consumer_only,src/modules/gpio_led,0.030227703075126466,0.0019978766671723634,5,0.0050692027518941625,19
all,consumer_only,src/drivers/batt_smbus,0.028856895813480544,0.0020383916464656515,5,0.00483931760561687,20
all,consumer_only,src/modules/camera_feedback,0.025226354206502932,0.0021608140708986655,5,0.004230473742779629,21
all,consumer_only,src/modules/logger,0.001370807261645925,7.89548621172101e-05,5,0.0002298851462772929,22
all,producer_only,src/modules/mavlink,1.8561665967036205,0.07222297271123548,5,0.25721606433619604,1
all,producer_only,src/modules/ekf2,1.6724655557053985,0.1023694441702087,5,0.23175991246710304,2
all,producer_only,src/modules/sensors,0.8968698899464475,0.0443541947949719,5,0.1242826714602802,3
all,producer_only,src/modules/vtol_att_control,0.5855552472345377,0.020956133398646853,5,0.08114261748517233,4
all,producer_only,src/modules/position_estimator_inav,0.5111298423143392,0.02094187827462309,5,0.07082920608438636,5
all,producer_only,src/modules/load_mon,0.47873457656963286,0.027503391073075204,5,0.06634007091043352,6
all,producer_only,src/drivers/mkblctrl,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,7
all,producer_only,src/drivers/px4fmu,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,7
all,producer_only,src/drivers/px4io,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,7
all,producer_only,src/drivers/tap_esc,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,7
all,producer_only,src/modules/uavcan,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,7
all,producer_only,src/modules/attitude_estimator_q,0.1177229862970137,0.010083798997527108,5,0.016313321913559213,8
all,producer_only,src/modules/fw_att_control,0.07278124608196865,0.006102473556984853,5,0.010085574057810352,9
