mode,run_id,mutation_id,topic,detected,top1,top3,top5,mrr,exam
topic_only,commander_nav_state_override__2019-03-06__08_02_26__fault,commander_nav_state_override,vehicle_status,False,0.0,1.0,1.0,0.3333333333333333,0.16666666666666666
topic_only,ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovation_bias,ekf2_innovations,False,1.0,1.0,1.0,1.0,0.05555555555555555
topic_only,inav_local_z_freeze__2019-03-06__08_02_26__fault,inav_local_z_freeze,vehicle_local_position,False,0.0,0.0,0.0,0.1,0.5555555555555556
topic_only,land_detector_state_inversion__2019-03-06__08_02_26__fault,land_detector_state_inversion,vehicle_land_detected,False,0.0,0.0,0.0,0.05555555555555555,1.0
random_mapping,commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,vehicle_status,False,1.0,1.0,1.0,1.0,0.018518518518518517
random_mapping,ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,ekf2_innovations,False,0.0,0.0,0.0,0.041666666666666664,0.4444444444444444
random_mapping,inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze,vehicle_local_position,False,0.0,0.0,0.0,0.018518518518518517,1.0
random_mapping,land_detector_state_inversion__2019-01-18__08_39_38__fault,land_detector_state_inversion,vehicle_land_detected,False,0.0,0.0,0.0,0.06666666666666667,0.2777777777777778
random_mapping,commander_nav_state_override__2019-01-25__17_38_05__fault,commander_nav_state_override,vehicle_status,False,0.0,0.0,1.0,0.25,0.07407407407407407
random_mapping,ekf2_innovation_bias__2019-01-25__17_38_05__fault,ekf2_innovation_bias,ekf2_innovations,False,0.0,0.0,0.0,0.022222222222222223,0.8333333333333334
random_mapping,inav_local_z_freeze__2019-01-25__17_38_05__fault,inav_local_z_freeze,vehicle_local_position,False,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666
random_mapping,land_detector_state_inversion__2019-01-25__17_38_05__fault,land_detector_state_inversion,vehicle_land_detected,False,0.0,0.0,0.0,0.07692307692307693,0.24074074074074073
random_mapping,commander_nav_state_override__2019-03-06__08_02_26__fault,commander_nav_state_override,vehicle_status,False,0.0,0.0,0.0,0.125,0.14814814814814814
random_mapping,ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovation_bias,ekf2_innovations,False,0.0,0.0,0.0,0.043478260869565216,0.42592592592592593
random_mapping,inav_local_z_freeze__2019-03-06__08_02_26__fault,inav_local_z_freeze,vehicle_local_position,False,0.0,0.0,0.0,0.02040816326530612,0.9074074074074074
random_mapping,land_detector_state_inversion__2019-03-06__08_02_26__fault,land_detector_state_inversion,vehicle_land_detected,False,0.0,0.0,0.0,0.022222222222222223,0.8333333333333334
