mode,runs,top1,top1_ci_low,top1_ci_high,top3,top3_ci_low,top3_ci_high,top5,top5_ci_low,top5_ci_high,mrr,mrr_ci_low,mrr_ci_high,exam,exam_ci_low,exam_ci_high,detection_recall
bidirectional,12,0.25,0.0,0.5,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.32269232635792205,0.12051166327753053,0.5607919087737593,0.33179012345679015,0.1820987654320988,0.48919753086419754,0.0
producer_only,12,0.25,0.0,0.5,0.5,0.25,0.75,0.5,0.25,0.75,0.4143557422969188,0.21749153828197945,0.6412225723622782,0.22685185185185186,0.08175154320987657,0.3888888888888889,0.0
consumer_only,12,0.08333333333333333,0.0,0.25,0.16666666666666666,0.0,0.33541666666666475,0.25,0.0,0.5,0.18187121187121189,0.060710559460559484,0.3498302815177815,0.375,0.22677469135802475,0.5123842592592592,0.0
topic_only,12,0.16666666666666666,0.0,0.4166666666666667,0.5,0.25,0.75,0.5,0.25,0.75,0.37266865079365075,0.20458540013227514,0.5774623842592592,0.35648148148148145,0.1898148148148148,0.5416666666666666,0.0
random_mapping,12,0.08333333333333333,0.0,0.25,0.08333333333333333,0.0,0.25,0.16666666666666666,0.0,0.4166666666666667,0.14985140903877964,0.046135181303724286,0.32517241757504434,0.4475308641975308,0.26381172839506173,0.6358796296296295,0.0
