run_id,mutation_id,ground_truth_module,module,score,rank,detected,ranking_available,ranking_protocol
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/drivers/px4io,5.245950459781363e-05,35,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/platforms/qurt/fc_addon/uart_esc,5.245950459781363e-05,36,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/drivers/vmount,0.0,37,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/examples/fixedwing_control,0.0,38,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/examples/hwtest,0.0,39,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/examples/rover_steering_control,0.0,40,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/examples/uuv_example_app,0.0,41,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/camera_feedback,0.0,42,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/commander,0.0,43,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/ekf2,0.0,44,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/events,0.0,45,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/fw_att_control,0.0,46,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/gnd_att_control,0.0,47,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/gnd_pos_control,0.0,48,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/load_mon,0.0,49,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/mc_att_control,0.0,50,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/replay,0.0,51,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/sensors,0.0,52,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/modules/vtol_att_control,0.0,53,False,True,onset_conditioned
commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override,src/modules/commander,src/platforms/posix/drivers/df_ltc2946_wrapper,0.0,54,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/ekf2,0.044420440098828715,1,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/commander,0.01563854738115578,2,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/load_mon,0.012891389815432098,3,False,True,onset_conditioned
