scope,level,name,mean_abs_shap,std_abs_shap,seeds,scope_windows,topic,feature_count,mean_abs_shap_per_feature,shap_share,rank
Global Position,topic,vehicle_attitude,0.18096838946723626,0.021239554857916766,5,641,vehicle_attitude,126,0.00143625705926378,0.025098910858238326,10
Global Position,topic,sensor_combined,0.1675974190767296,0.006932339654485344,5,641,sensor_combined,108,0.001551827954414163,0.02324446105677049,11
Global Position,topic,sensor_preflight,0.15543153325789855,0.015947382841985765,5,641,sensor_preflight,36,0.004317542590497182,0.02155714713096673,12
Global Position,topic,rate_ctrl_status,0.10077382240817061,0.021968257321896084,5,641,rate_ctrl_status,54,0.0018661818964476038,0.013976546914700471,13
Global Position,topic,vehicle_rates_setpoint,0.051340923151135906,0.009750917624064567,5,641,vehicle_rates_setpoint,54,0.0009507578361321464,0.007120587508921394,14
Global Position,topic,vehicle_vision_position,0.046528190313640506,0.0057334304999241996,5,641,vehicle_vision_position,54,0.0008616331539563057,0.006453098823033062,15
Global Position,topic,vehicle_status,0.018203508965578936,0.0010966192074488474,5,641,vehicle_status,36,0.0005056530268216371,0.0025246853894167302,16
Global Position,topic,distance_sensor,0.004811382473422497,0.0010217546238839373,5,641,distance_sensor,18,0.00026729902630124984,0.0006673014008735751,17
Global Position,topic,vehicle_land_detected,0.004131379627888998,0.0012437175397754293,5,641,vehicle_land_detected,54,7.650703014609255e-05,0.0005729902846966602,18
Mechanical/Electrical,topic,actuator_controls_0,2.1086316066430077,0.09059400463853212,5,683,actuator_controls_0,72,0.029286550092263997,0.28124941827010197,1
Mechanical/Electrical,topic,actuator_outputs,1.2120312735829586,0.05534788481185056,5,683,actuator_outputs,144,0.008416883844326102,0.16166080862416363,2
Mechanical/Electrical,topic,vehicle_attitude,0.9037722156047365,0.062418139637911124,5,683,vehicle_attitude,126,0.007172795361942354,0.12054519579746917,3
Mechanical/Electrical,topic,vehicle_local_position,0.553306746998994,0.027017958753132204,5,683,vehicle_local_position,234,0.0023645587478589485,0.07380008922759906,4
Mechanical/Electrical,topic,sensor_combined,0.540843378086963,0.044656853345734625,5,683,sensor_combined,108,0.005007809056360769,0.07213772428668133,5
Mechanical/Electrical,topic,battery_status,0.4025443280580757,0.04802281497628043,5,683,battery_status,108,0.0037272622968340346,0.05369138816737385,6
Mechanical/Electrical,topic,estimator_status,0.3844240825636998,0.019717361344498658,5,683,estimator_status,162,0.002372988163973456,0.05127450866687252,7
Mechanical/Electrical,topic,vehicle_attitude_setpoint,0.30852829046815083,0.010987307989644524,5,683,vehicle_attitude_setpoint,54,0.005713486860521312,0.04115152307338399,8
Mechanical/Electrical,topic,ekf2_innovations,0.27614452411131396,0.01912761263863982,5,683,ekf2_innovations,144,0.001917670306328569,0.03683217424992814,9
Mechanical/Electrical,topic,manual_control_setpoint,0.25601710319799426,0.02595418098815547,5,683,manual_control_setpoint,72,0.0035557930999721423,0.034147577563947124,10
Mechanical/Electrical,topic,cpuload,0.17459163131992797,0.01035401105768339,5,683,cpuload,36,0.0048497675366646655,0.023287042928153905,11
Mechanical/Electrical,topic,vehicle_rates_setpoint,0.12210619335242387,0.01233290520043597,5,683,vehicle_rates_setpoint,54,0.002261225802822664,0.016286531862348193,12
Mechanical/Electrical,topic,rate_ctrl_status,0.0794281991756872,0.004815774078261803,5,683,rate_ctrl_status,54,0.001470892577327541,0.010594138275280935,13
Mechanical/Electrical,topic,sensor_preflight,0.06008935687668275,0.0066623455376271885,5,683,sensor_preflight,36,0.0016691488021300764,0.008014722255205563,14
Mechanical/Electrical,topic,distance_sensor,0.04838282432620826,0.0030975934831722358,5,683,distance_sensor,18,0.002687934684789348,0.006453304196494666,15
Mechanical/Electrical,topic,vehicle_vision_position,0.04113601497807302,0.006572359616634831,5,683,vehicle_vision_position,54,0.0007617780551495003,0.005486724303138057,16
Mechanical/Electrical,topic,vehicle_land_detected,0.020365554659914745,0.0013478902041085187,5,683,vehicle_land_detected,54,0.00037713990110953234,0.0027163589802999223,17
Mechanical/Electrical,topic,vehicle_status,0.0050290069770517745,0.0005573647808634374,5,683,vehicle_status,36,0.00013969463825143819,0.0006707692715579954,18
all,topic,vehicle_local_position,1.233465964738612,0.05288349375541052,5,3602,vehicle_local_position,234,0.00527122207153253,0.1792460796966234,1
all,topic,estimator_status,1.0458123690550505,0.059353490115405694,5,3602,estimator_status,162,0.006455631907747225,0.15197644086683895,2
all,topic,actuator_controls_0,0.8814930327289379,0.03842978831138864,5,3602,actuator_controls_0,72,0.012242958787901916,0.12809771401356232,3
all,topic,actuator_outputs,0.6125028772349091,0.02582167557521685,5,3602,actuator_outputs,144,0.004253492203020202,0.08900832506596595,4
all,topic,ekf2_innovations,0.5751656880418109,0.040200303042616264,5,3602,ekf2_innovations,144,0.00399420616695702,0.08358252088403034,5
all,topic,manual_control_setpoint,0.5454978852553817,0.01814548904470485,5,3602,manual_control_setpoint,72,0.007576359517435857,0.07927122450885479,6
all,topic,vehicle_attitude,0.3403361216072455,0.030575539360455838,5,3602,vehicle_attitude,126,0.0027010803302162344,0.049457315662681946,7
all,topic,cpuload,0.3113832760522867,0.016217635269863355,5,3602,cpuload,36,0.008649535445896854,0.04524991618012878,8
all,topic,sensor_combined,0.2446285233073235,0.02258633307315687,5,3602,sensor_combined,108,0.0022650789195122543,0.035549180146291215,9
all,topic,battery_status,0.23658023716618187,0.018712539061737966,5,3602,battery_status,108,0.002190557751538721,0.03437961099698598,10
all,topic,vehicle_attitude_setpoint,0.23141568951858504,0.012613291674753575,5,3602,vehicle_attitude_setpoint,54,0.004285475731825649,0.03362910393339276,11
all,topic,vehicle_vision_position,0.21589419281383854,0.01224798966566525,5,3602,vehicle_vision_position,54,0.003998040607663677,0.03137353506089497,12
all,topic,sensor_preflight,0.11608668960658688,0.00935901776016107,5,3602,sensor_preflight,36,0.0032246302668496357,0.01686960533308997,13
all,topic,rate_ctrl_status,0.11421904874433142,0.006696414005738175,5,3602,rate_ctrl_status,54,0.002115167569339471,0.01659820157132387,14
all,topic,vehicle_rates_setpoint,0.1054620930569791,0.009253456374850626,5,3602,vehicle_rates_setpoint,54,0.0019530017232773907,0.015325649249730153,15
all,topic,distance_sensor,0.027236965989092133,0.0014981473724553582,5,3602,distance_sensor,18,0.0015131647771717853,0.003958049525435926,16
all,topic,vehicle_status,0.02695611097024264,0.001422394463262095,5,3602,vehicle_status,36,0.0007487808602845178,0.003917235946033627,17
all,topic,vehicle_land_detected,0.017274346848074575,0.0025590083355263313,5,3602,vehicle_land_detected,54,0.000319895312001381,0.0025102913581350832,18
