seed,scope,k,windows,consistency,hit_rate,weighted_consistency,random_consistency,random_hit_rate,consistency_lift,hit_rate_lift
0,all,1,3602,0.3614658523042754,0.3614658523042754,0.2957764007150081,0.17034278529807834,0.1703427852980783,0.19112306700619708,0.1911230670061971
0,correct_predictions,1,3284,0.3830694275274056,0.3830694275274056,0.30312895151901503,0.16318058997297943,0.16318058997297938,0.21988883755442615,0.2198888375544262
0,External Position,1,1707,0.029291154071470416,0.029291154071470416,0.05769183458381732,0.03448275862068966,0.03448275862068961,-0.0051916045492192454,-0.005191604549219197
0,Global Position,1,641,0.8190327613104524,0.8190327613104524,0.49327115215613976,0.19540229885057478,0.1954022988505747,0.6236304624598776,0.6236304624598777
0,Altitude,1,571,0.2171628721541156,0.2171628721541156,0.2145525118672554,0.16091954022988508,0.16091954022988508,0.056243331924230505,0.056243331924230505
0,Mechanical/Electrical,1,683,0.8828696925329429,0.8828696925329429,0.7733679955089231,0.49425287356321845,0.49425287356321845,0.38861681896972444,0.38861681896972444
0,all,3,3602,0.36165093466592635,0.5585785674625208,0.2957764007150081,0.17034278529807834,0.3653705863730332,0.191308149367848,0.19320798108948756
0,correct_predictions,3,3284,0.37951684937068614,0.5706455542021924,0.30312895151901503,0.16318058997297943,0.3515840352591724,0.2163362593977067,0.21906151894302
0,External Position,3,1707,0.08631126733059949,0.2583479789103691,0.05769183458381732,0.03448275862068966,0.10105193641209488,0.05182850870990983,0.15729604249827422
0,Global Position,3,641,0.6536661466458659,0.9547581903276131,0.49327115215613976,0.19540229885057478,0.483560545308741,0.45826384779529106,0.4711976450188721
0,Altitude,3,571,0.20957384705195564,0.532399299474606,0.2145525118672554,0.16091954022988508,0.41321760460399076,0.04865430682207056,0.1191816948706152
0,Mechanical/Electrical,3,683,0.9028794533918985,0.95900439238653,0.7733679955089231,0.49425287356321845,0.875050709939148,0.40862657982868,0.083953682447382
0,all,5,3602,0.3526374236535258,0.7284841754580789,0.2957764007150081,0.17034278529807834,0.4757446622227997,0.18229463835544746,0.25273951323527916
0,correct_predictions,5,3284,0.3676613885505481,0.7369062119366626,0.30312895151901503,0.16318058997297943,0.45956266022771664,0.20448079857756865,0.277343551708946
0,External Position,5,1707,0.09876977152899824,0.4850615114235501,0.05769183458381732,0.03448275862068966,0.16448889098542385,0.06428701290830857,0.32057262043812623
0,Global Position,5,641,0.5744149765990639,0.9906396255850234,0.49327115215613976,0.19540229885057478,0.6724476092018435,0.3790126777484891,0.31819201638317984
0,Altitude,5,571,0.2598949211908932,0.8458844133099825,0.2145525118672554,0.16091954022988508,0.5934941236714394,0.09897538096100811,0.25239028963854315
0,Mechanical/Electrical,5,683,0.8565153733528551,0.9926793557833089,0.7733679955089231,0.49425287356321845,0.9706086007315265,0.36226249978963665,0.022070755051782354
0,all,10,3602,0.29988895058300946,0.8489727928928373,0.2957764007150081,0.17034278529807834,0.6305642277774868,0.12954616528493113,0.21840856511535056
0,correct_predictions,10,3284,0.3053897685749086,0.8526187576126675,0.30312895151901503,0.16318058997297943,0.6137353028512805,0.1422091786019292,0.23888345476138695
0,External Position,10,1707,0.07809021675454013,0.68306971294669,0.05769183458381732,0.03448275862068966,0.3098731072220388,0.04360745813385047,0.37319660572465124
0,Global Position,10,641,0.43229329173166925,1.0,0.49327115215613976,0.19540229885057478,0.9008424868902108,0.23689099288109447,0.09915751310978915
0,Altitude,10,571,0.24816112084063047,0.9947460595446584,0.2145525118672554,0.16091954022988508,0.8446979253764334,0.08724158061074538,0.15004813416822504
0,Mechanical/Electrical,10,683,0.7732064421669107,1.0,0.7733679955089231,0.49425287356321845,0.9993798022546388,0.27895356860369225,0.0006201977453611507
1,all,1,3602,0.36535258189894504,0.36535258189894504,0.29502987658289237,0.17034278529807834,0.1703427852980783,0.1950097966008667,0.19500979660086673
