mask,k,runs,macro_f1_drop_mean,macro_f1_drop_std,balanced_accuracy_drop_mean,balanced_accuracy_drop_std
uniform_random_k,10,100,0.0005105947996111427,0.0019509351696340572,0.00038312398749025365,0.0024032714883852504
uniform_random_k,25,100,0.0011012606077295062,0.004896483895974834,0.0010080879889733552,0.006348963778451404
uniform_random_k,50,100,0.0013920136347013012,0.004138354570916415,0.0015762011779226137,0.005039160564070076
uniform_random_k,100,100,0.00368450319914685,0.008005235745468605,0.003616461714995287,0.010253457729782011
validation_shap_top_k,10,5,0.040892466620496656,0.0039107234356274235,0.04531970609611213,0.003674900981667557
validation_shap_top_k,25,5,0.054088649226287575,0.007882628728305356,0.059177642092553495,0.008605039188764829
validation_shap_top_k,50,5,0.10867699498426561,0.01697104868921544,0.1210609371929084,0.02022411509188092
validation_shap_top_k,100,5,0.26829156185679726,0.03429096565589528,0.28722910253621653,0.03331301042956143
