seed,k,mask,repeat,baseline_macro_f1,masked_macro_f1,macro_f1_drop,baseline_balanced_accuracy,masked_balanced_accuracy,balanced_accuracy_drop
0,10,validation_shap_top_k,-1,0.8981823801062768,0.8564367649402926,0.041745615165984185,0.8866618861212897,0.8408599937401544,0.0458018923811353
0,10,uniform_random_k,0,0.8981823801062768,0.899373696800429,-0.001191316694152178,0.8866618861212897,0.8900970920656817,-0.0034352059443919503
0,10,uniform_random_k,1,0.8981823801062768,0.8980360689450153,0.00014631116126151422,0.8866618861212897,0.8867085283911927,-4.664226990303e-05
0,10,uniform_random_k,2,0.8981823801062768,0.8982921037475818,-0.00010972364130501511,0.8866618861212897,0.8864183262910231,0.000243559830266582
0,10,uniform_random_k,3,0.8981823801062768,0.8971149724070595,0.0010674076992173154,0.8866618861212897,0.886781434631195,-0.00011954850990525401
0,10,uniform_random_k,4,0.8981823801062768,0.8965516889035545,0.0016306912027223008,0.8866618861212897,0.8852217406677411,0.0014401454535486469
0,10,uniform_random_k,5,0.8981823801062768,0.895434866734369,0.002747513371907817,0.8866618861212897,0.8849511195680977,0.0017107665531920224
0,10,uniform_random_k,6,0.8981823801062768,0.897948551966712,0.00023382813956485116,0.8866618861212897,0.8864676175802779,0.00019426854101178836
0,10,uniform_random_k,7,0.8981823801062768,0.899561778966809,-0.0013793988605321772,0.8866618861212897,0.8886119641244099,-0.0019500780031201925
0,10,uniform_random_k,8,0.8981823801062768,0.898618070816334,-0.0004356907100572238,0.8866618861212897,0.8883910027530637,-0.001729116631773997
0,10,uniform_random_k,9,0.8981823801062768,0.8935604616672,0.004621918439076778,0.8866618861212897,0.8831236075332768,0.003538278588012922
0,10,uniform_random_k,10,0.8981823801062768,0.8955424578258163,0.002639922280460505,0.8866618861212897,0.8840052056048906,0.0026566805163991125
0,10,uniform_random_k,11,0.8981823801062768,0.8873857264898105,0.010796653616466312,0.8866618861212897,0.8709791837577451,0.01568270236354463
0,10,uniform_random_k,12,0.8981823801062768,0.8972168790543139,0.0009655010519629137,0.8866618861212897,0.8865845170708313,7.736905045840903e-05
0,10,uniform_random_k,13,0.8981823801062768,0.8976980189855223,0.0004843611207545617,0.8866618861212897,0.8863689745805751,0.00029291154071464653
0,10,uniform_random_k,14,0.8981823801062768,0.8979071932191942,0.0002751868870826124,0.8866618861212897,0.8858818549200417,0.0007800312012480326
0,10,uniform_random_k,15,0.8981823801062768,0.8968831775530386,0.0012992025532382323,0.8866618861212897,0.8850779943379288,0.0015838917833609356
0,10,uniform_random_k,16,0.8981823801062768,0.895895012835138,0.0022873672711388737,0.8866618861212897,0.8837375083759098,0.0029243777453799025
0,10,uniform_random_k,17,0.8981823801062768,0.8973530573633701,0.0008293227429067018,0.8866618861212897,0.8857353991496844,0.0009264869716053559
0,10,uniform_random_k,18,0.8981823801062768,0.8983003118452035,-0.00011793173892671316,0.8866618861212897,0.887244631323132,-0.0005827452018423163
0,10,uniform_random_k,19,0.8981823801062768,0.8975297426586523,0.00065263744762456,0.8866618861212897,0.8861493981400979,0.0005124879811918559
0,25,validation_shap_top_k,-1,0.8981823801062768,0.8356221769081512,0.06256020319812561,0.8866618861212897,0.8192548987101113,0.06740698741117845
0,25,uniform_random_k,0,0.8981823801062768,0.8986455514159511,-0.0004631713096743262,0.8866618861212897,0.8870252693127725,-0.000363383191482769
0,25,uniform_random_k,1,0.8981823801062768,0.9032527375842115,-0.005070357477934717,0.8866618861212897,0.8918370132930975,-0.005175127171807792
0,25,uniform_random_k,2,0.8981823801062768,0.8981895296066297,-7.149500352854332e-06,0.8866618861212897,0.8854443014000741,0.001217584721215581
0,25,uniform_random_k,3,0.8981823801062768,0.8963265768786801,0.0018558032275967085,0.8866618861212897,0.8849276586262749,0.0017342274950148395
0,25,uniform_random_k,4,0.8981823801062768,0.8956907871146611,0.002491592991615721,0.8866618861212897,0.8840825142341557,0.0025793718871339744
0,25,uniform_random_k,5,0.8981823801062768,0.8978010568250362,0.00038132328124063086,0.8866618861212897,0.8886088258236295,-0.0019469397023398338
0,25,uniform_random_k,6,0.8981823801062768,0.8975780992429636,0.0006042808633132113,0.8866618861212897,0.8851273460483768,0.001534540072912871
0,25,uniform_random_k,7,0.8981823801062768,0.8975504537274255,0.0006319263788513441,0.8866618861212897,0.8871954336216086,-0.000533547500318865
0,25,uniform_random_k,8,0.8981823801062768,0.8992241100802046,-0.0010417299739278185,0.8866618861212897,0.8882710858041163,-0.0016091996828265787
0,25,uniform_random_k,9,0.8981823801062768,0.8581944888978146,0.039987891208462245,0.8866618861212897,0.8359558572260191,0.05070602889527065
0,25,uniform_random_k,10,0.8981823801062768,0.8963271254725392,0.0018552546337375908,0.8866618861212897,0.8846624564077216,0.001999429713568146
0,25,uniform_random_k,11,0.8981823801062768,0.8979299979509097,0.000252382155367159,0.8866618861212897,0.8850614307957965,0.001600455325493244
0,25,uniform_random_k,12,0.8981823801062768,0.8959017017261077,0.002280678380169099,0.8866618861212897,0.8854917184770315,0.0011701676442582576
0,25,uniform_random_k,13,0.8981823801062768,0.8954544520077314,0.0027279280985453846,0.8866618861212897,0.8860229853970404,0.000638900724249325
0,25,uniform_random_k,14,0.8981823801062768,0.8974263695400481,0.0007560105662287597,0.8866618861212897,0.8865589947412482,0.00010289138004149212
0,25,uniform_random_k,15,0.8981823801062768,0.9015436228412471,-0.0033612427349702934,0.8866618861212897,0.8920282975422534,-0.005366411420963724
0,25,uniform_random_k,16,0.8981823801062768,0.9001733455424245,-0.0019909654361476292,0.8866618861212897,0.8897493436003525,-0.003087457479062805
0,25,uniform_random_k,17,0.8981823801062768,0.8967060154517178,0.0014763646545590259,0.8866618861212897,0.8846430294161198,0.0020188567051698803
0,25,uniform_random_k,18,0.8981823801062768,0.8979037097538181,0.00027867035245876526,0.8866618861212897,0.8860043273006095,0.000657558820680193
0,25,uniform_random_k,19,0.8981823801062768,0.8985177117629561,-0.0003353316566793163,0.8866618861212897,0.8882457174834577,-0.0015838313621679978
0,50,validation_shap_top_k,-1,0.8981823801062768,0.7720560323216338,0.12612634778464304,0.8866618861212897,0.7422036882527188,0.14445819786857095
