method,runs,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_ci_low,macro_f1_ci_high,bootstrap_repetitions,bootstrap_unit,protocol,test_auprc_mean,test_auprc_std,test_auroc_mean,test_auroc_std,test_best_f1_mean,test_best_f1_std,test_event_f1_mean,test_event_f1_std,test_auprc_ci_low,test_auprc_ci_high
stage2_lightgbm,5,0.9041389014913305,0.0029480905040553855,0.8876317811951395,0.003970901816608214,0.9136199276817999,0.0027689933210306157,0.9127504429141757,0.0028680661879587096,0.8257753708521826,0.9537430409979324,1000.0,flight_log,,,,,,,,,,,
majority,5,0.161360544217687,0.0,0.25,0.0,0.4764965849738851,0.0,0.3075509930770219,0.0,,,,,,,,,,,,,,,
stratified_random,5,0.24828052365893183,0.009038413992840588,0.2516810139775355,0.00965658900703603,0.3242265970269185,0.01188105510857474,0.3186603381568529,0.010610809681118325,,,,,,,,,,,,,,,
hs_aerots_cascade,5,0.5961699934924123,0.0048071920685461116,0.5839757696737411,0.005723078887341094,0.9393492159419828,0.0005413841338288582,0.9352905812900649,0.0005855790363693515,0.4860280723484523,0.6789483541834243,1000.0,flight_log,,,,,,,,,,,
direct_five_class_lightgbm,5,0.6092023463298946,0.004277445720562597,0.6340530894868057,0.0021973409497613164,0.9333375743503292,0.0007704408831501883,0.9332497485433068,0.0006384985724247193,0.5088943034994289,0.6782320150491142,1000.0,flight_log,,,,,,,,,,,
stage2_random_forest,5,0.8740695665512372,0.002753815040689106,0.8378718781770751,0.002523222839217231,0.8855765367617519,0.00257883592380574,0.8815949705975996,0.002607073293906867,0.7716598526851455,0.937989475507368,1000.0,flight_log,,,,,,,,,,,
random_forest_binary,5,,,,,,,,,,,1000.0,flight_log,leave_log_out,0.5645107760647677,0.0040773461870094625,0.9136787717424717,0.004183428800600022,0.5602568617631991,0.009642871655594517,0.3462305891737721,0.02225170084532238,0.420481422646315,0.6793759486423054
