seed,known_validation_window_threshold,flight_threshold,flight_auprc,flight_auroc,flight_f1,unknown_recall,normal_specificity,train_windows,excluded_unknown_train_windows
0,0.44230253603546893,0.2784661820585781,0.2806321156590708,0.6568845801126687,0.343042071197411,0.44537815126050423,0.8474387527839644,143296,9044
1,0.4866256065737038,0.30638964559171106,0.2747416941984474,0.657679998502742,0.32413793103448274,0.3949579831932773,0.8619153674832962,143296,9044
2,0.5161780113548445,0.2804952717789697,0.2853450905413842,0.6691714547734461,0.3475409836065574,0.44537815126050423,0.8518930957683741,143296,9044
3,0.486381452192012,0.30773019530998846,0.27455930146839336,0.6605902940240684,0.32525951557093424,0.3949579831932773,0.8630289532293987,143296,9044
4,0.504296951623206,0.33720799252374,0.27675411950960027,0.6607680934289083,0.313588850174216,0.37815126050420167,0.8630289532293987,143296,9044
