group,run_id,topic,sustained_max,evidence
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,sensor_preflight,0.0,0.0
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,vehicle_attitude,75.5324912071228,19.456668267124577
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,vehicle_attitude_setpoint,20.911779403686523,0.0
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,vehicle_land_detected,0.0,0.0
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,vehicle_local_position,66.29043579101562,6.732420397040091
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,vehicle_rates_setpoint,9.30755615234375,0.0
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,vehicle_status,0.0,0.0
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,vehicle_vision_position,0.0,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,actuator_controls_0,0.7887031657021989,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,actuator_outputs,0.8272922039031982,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,battery_status,0.0,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,cpuload,0.0,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,distance_sensor,0.0,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,ekf2_innovations,19.789305921969202,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,estimator_status,879.5560073852539,375.51399064371765
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,manual_control_setpoint,2.432284355163574,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,rate_ctrl_status,0.01818433403968811,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,sensor_combined,16.869168281555176,0.2993540487427642
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,sensor_preflight,0.0,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,vehicle_attitude,97.64177203178406,37.67085925773785
