method,pair_id,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,ground_truth_rank,top1,top3,top5,mrr
original_stage1_original_shap,fault:land_detector_state_inversion__2019-01-18__08_39_38__fault,land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,land_detector_state_inversion,0.3374776883274057,True,True,False,48.0,18.0,20.0,0.0,0.0,0.0,0.05
paired_residual,normal:commander_nav_state_override__2019-01-25__17_38_05__baseline,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,commander_nav_state_override,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:commander_nav_state_override__2019-01-25__17_38_05__baseline,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,commander_nav_state_override,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:commander_nav_state_override__2019-01-25__17_38_05__baseline,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,commander_nav_state_override,0.3374776883274057,True,True,False,80.0,50.0,,0.0,0.0,0.0,0.0
paired_residual,normal:ekf2_innovation_bias__2019-01-25__17_38_05__baseline,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:ekf2_innovation_bias__2019-01-25__17_38_05__baseline,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:ekf2_innovation_bias__2019-01-25__17_38_05__baseline,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,ekf2_innovation_bias,0.3374776883274057,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,normal:inav_local_z_freeze__2019-01-25__17_38_05__baseline,inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:inav_local_z_freeze__2019-01-25__17_38_05__baseline,inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:inav_local_z_freeze__2019-01-25__17_38_05__baseline,inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,inav_local_z_freeze,0.3374776883274057,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,normal:land_detector_state_inversion__2019-01-25__17_38_05__baseline,land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,land_detector_state_inversion,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
