,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,29023,817,273,175,169
External Position,305,1368,14,0,20
Global Position,166,20,439,0,16
Altitude,275,34,0,262,0
Mechanical/Electrical,236,23,18,2,404
