,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,29323,641,229,140,124
External Position,365,1313,12,1,16
Global Position,182,17,429,0,13
Altitude,304,26,0,241,0
Mechanical/Electrical,272,19,14,1,377
