,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,29283,670,228,145,131
External Position,350,1332,12,1,12
Global Position,183,15,430,0,13
Altitude,287,32,0,252,0
Mechanical/Electrical,277,23,9,2,372
