,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,29559,542,167,96,93
External Position,377,1311,12,0,7
Global Position,194,19,413,0,15
Altitude,317,15,0,239,0
Mechanical/Electrical,284,18,15,0,366
