,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,29449,590,201,113,104
External Position,362,1322,14,0,9
Global Position,192,19,420,0,10
Altitude,308,21,0,242,0
Mechanical/Electrical,330,21,13,1,318
