gate,exposure,run_id,source_log,condition,mutation_id,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,frozen_rank,top1,top3,top5,mrr
frozen,historical,commander_nav_state_override__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,commander_nav_state_override,True,True,False,32.024026,2.024025999999999,1.0,1,1,1,1.0
frozen,historical,commander_nav_state_override__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,commander_nav_state_override,True,True,True,14.422316,2.0223159999999964,1.0,1,1,1,1.0
frozen,historical,commander_nav_state_override__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,commander_nav_state_override,True,True,True,11.224953,2.0249529999999965,1.0,1,1,1,1.0
frozen,historical,ekf2_innovation_bias__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,ekf2_innovation_bias,True,True,True,11.222598,0.42259799999999714,1.0,1,1,1,1.0
frozen,historical,ekf2_innovation_bias__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,ekf2_innovation_bias,True,True,True,12.018876,0.41887599999999736,1.0,1,1,1,1.0
frozen,historical,ekf2_innovation_bias__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,ekf2_innovation_bias,True,True,True,13.624724,5.224724000000002,1.0,1,1,1,1.0
frozen,historical,inav_local_z_freeze__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,inav_local_z_freeze,True,True,True,11.221414999999999,2.8214149999999947,,0,0,0,0.0
frozen,historical,inav_local_z_freeze__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,inav_local_z_freeze,True,True,True,16.818601,54.818601,,0,0,0,0.0
frozen,historical,inav_local_z_freeze__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,inav_local_z_freeze,True,True,True,13.623047,17.223047,7.0,0,0,0,0.14285714285714285
frozen,historical,land_detector_state_inversion__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,land_detector_state_inversion,True,True,True,11.226123,1.2261229999999976,2.0,0,1,1,0.5
frozen,historical,land_detector_state_inversion__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,land_detector_state_inversion,True,True,False,31.218301,1.2183010000000003,2.0,0,1,1,0.5
frozen,historical,land_detector_state_inversion__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,land_detector_state_inversion,True,True,True,11.224174999999999,0.4241749999999982,2.0,0,1,1,0.5
frozen,historical,commander_nav_state_override__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,commander_nav_state_override,True,True,True,11.232558,2.832557999999999,,0,0,0,0.0
frozen,historical,commander_nav_state_override__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,commander_nav_state_override,True,True,False,89.615898,59.615898,,0,0,0,0.0
frozen,historical,commander_nav_state_override__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,commander_nav_state_override,True,True,True,11.216792,74.016792,,0,0,0,0.0
frozen,historical,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,ekf2_innovation_bias,True,True,True,11.217917,0.4179169999999992,,0,0,0,0.0
frozen,historical,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,ekf2_innovation_bias,True,True,True,12.818491,0.4184909999999995,,0,0,0,0.0
frozen,historical,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,ekf2_innovation_bias,True,True,True,11.220495999999999,8.420496,,0,0,0,0.0
