run_id,condition,windows,start_us,duration_s,score_min,score_median,score_max,feature_finite,zero_feature_fraction,missing_topics
commander_nav_state_override__2019-01-18__08_39_38__baseline,baseline,74,96515,69.500918,0.0016711429025075752,0.030111554580535903,0.9833291919419783,True,0.030193987090538815,
commander_nav_state_override__2019-01-25__17_38_05__baseline,baseline,105,20111,94.246066,0.0004794921591299054,0.019612080784759352,0.4799568815206574,True,0.02222830383749924,
commander_nav_state_override__2019-03-06__08_02_26__baseline,baseline,122,22054,107.848232,0.0004232695992651982,0.013013984811042385,0.7231341976016801,True,0.028850784079726986,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,baseline,73,25419,68.778886,0.002494754705844415,0.11583084540600588,0.8334677259209096,True,0.07568361937752585,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,baseline,105,24041,94.290075,0.0008593161340103223,0.011911729893964856,0.1557795320579957,True,0.07236514018123213,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,baseline,109,21679,97.846796,0.0004377139257139722,0.0032551387358772783,0.5642730401796687,True,0.07658148499654352,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,baseline,92,93140,83.696652,0.004138095056395377,0.033705276171749794,0.8973239657218048,True,0.07022877450163807,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,baseline,121,21844,107.412077,0.000683576115068869,0.022409193186205382,0.7299448566121306,True,0.05898588813949315,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,baseline,128,21331,112.787297,0.0005249955779459612,0.0062761332167872224,0.785424694988257,True,0.06438577586206896,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,baseline,92,103502,84.111461,0.0004644597826514112,0.030829414201397887,0.9830924799996406,True,0.04852434893664279,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,baseline,122,22901,108.290429,0.0002757703835514361,0.011963098393130804,0.4799568815206574,True,0.036963758557879534,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,baseline,126,23647,111.371613,0.00013376843919574126,0.002776345805559353,0.702601958561795,True,0.03587646212167285,
