run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,battery_status,135,135,0.982618,68.267222,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,cpuload,68,68,1.097674,68.546529,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,distance_sensor,664,664,1.251938,68.75453,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,ekf2_innovations,333,333,1.254865,68.651066,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,estimator_status,333,333,1.262879,68.658864,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,manual_control_setpoint,333,333,1.088498,68.684376,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,rate_ctrl_status,2124,2124,1.28694,68.778886,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,sensor_combined,16824,16824,1.306742,68.778754,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,sensor_preflight,6,5,67.815327,68.624025,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,system_power,135,135,0.989684,68.269702,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_attitude,2057,2057,1.31926,68.751247,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,664,664,1.299839,68.751724,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_land_detected,70,70,1.027629,67.816883,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_local_position,664,664,1.299257,68.751247,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,2121,2121,1.350872,68.762875,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_status,72,71,0.996877,67.812038,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_status_flags,71,71,0.996891,67.812073,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_vision_position,1303,1303,1.344589,68.775784,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,actuator_controls_0,917,917,1.225372,94.202237,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,actuator_outputs,917,917,1.151954,94.184654,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,battery_status,186,186,0.937694,93.717682,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,cpuload,94,94,0.859242,94.109476,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,distance_sensor,916,916,1.224513,94.176538,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,ekf2_innovations,459,459,1.261394,94.234156,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,estimator_status,459,459,1.269378,94.242181,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,manual_control_setpoint,458,458,1.246739,94.030696,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,rate_ctrl_status,2941,2941,1.297434,94.278241,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,sensor_combined,23218,23218,1.313265,94.290075,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,sensor_preflight,6,5,93.306361,94.11543,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,system_power,186,186,0.934605,93.724573,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_attitude,2938,2938,1.32571,94.286649,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint,916,916,1.259237,94.223282,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_land_detected,94,94,1.319467,93.891467,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_local_position,916,916,1.25765,94.250478,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint,2934,2934,1.361488,94.286181,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_status,95,95,0.998373,93.300698,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_status_flags,95,95,0.998386,93.300729,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_vision_position,1879,1879,1.366996,94.28897,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,actuator_controls_0,953,953,1.217257,97.846796,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,actuator_outputs,952,952,1.135315,97.760898,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,battery_status,194,194,0.833499,97.76308,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,cpuload,97,97,0.735621,97.02465,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,distance_sensor,951,951,1.234719,97.757376,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovations,477,477,1.253133,97.846792,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,estimator_status,477,477,1.261167,97.846786,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,manual_control_setpoint,476,476,1.134525,97.584097,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,rate_ctrl_status,3055,3055,1.293296,97.842928,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,sensor_combined,24101,24101,1.305056,97.846657,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,sensor_preflight,6,5,96.855565,97.65974,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,system_power,193,193,0.840369,97.280371,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_attitude,3054,3054,1.293689,97.835227,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_attitude_setpoint,951,951,1.254309,97.79955,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_land_detected,97,97,1.02679,97.444314,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_local_position,951,951,1.253974,97.787037,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_rates_setpoint,3050,3050,1.325278,97.834821,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_status,99,99,0.990312,96.848365,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_status_flags,99,99,0.990325,96.848397,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_vision_position,960,960,1.339805,97.831005,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,actuator_controls_0,668,668,1.142968,68.814917,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,actuator_outputs,667,667,1.089259,68.793244,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,battery_status,136,136,0.982618,68.771174,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,cpuload,68,68,1.097674,68.546529,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,distance_sensor,665,665,1.150519,68.75453,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,ekf2_innovations,334,334,1.095124,68.679631,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,estimator_status,334,334,1.095124,68.691169,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,manual_control_setpoint,334,334,1.088498,68.684376,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,rate_ctrl_status,2129,2129,1.222902,68.811007,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,sensor_combined,16861,16861,1.230744,68.814742,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,sensor_preflight,6,5,67.815327,68.624025,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,system_power,136,136,0.989684,68.769684,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_attitude,2061,2061,1.223153,68.799167,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,665,665,1.200119,68.751724,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_land_detected,70,70,1.027629,67.816883,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_local_position,797,797,2.910876,83.696652,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,2126,2126,1.254885,68.794885,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_status,72,72,0.996877,68.814609,
