protocol,seed,contrast,estimate,ci_low,ci_high,flight_logs
fixed_chronological,0,direct_minus_cascade_macro_f1,-0.02946664167646773,-0.05533045358091908,-0.003623179507579083,1369
fixed_chronological,1,direct_minus_cascade_macro_f1,-0.029434725365391268,-0.05311942593896582,-0.006319050378260174,1369
fixed_chronological,2,direct_minus_cascade_macro_f1,-0.044277650642532085,-0.06885267416106991,-0.022214158320466044,1369
fixed_chronological,3,direct_minus_cascade_macro_f1,-0.022484782096033773,-0.047791427198358036,0.0011556990211060124,1369
fixed_chronological,4,direct_minus_cascade_macro_f1,-0.025848772262792696,-0.05174615231814675,-0.0028787673642582993,1369
purged,0,direct_minus_cascade_macro_f1,0.051783270513803714,0.004019161752760745,0.09931569077610451,826
purged,1,direct_minus_cascade_macro_f1,0.018108975654920312,-0.030414972203104712,0.06380758342238771,826
purged,2,direct_minus_cascade_macro_f1,0.04280959302733123,-0.0023272333830214784,0.0940972181732965,826
purged,3,direct_minus_cascade_macro_f1,0.03252456747060117,-0.013987675555906468,0.07170165525201443,826
purged,4,direct_minus_cascade_macro_f1,0.024951816710041763,-0.014724576290239913,0.06443567119274245,826
