method,pair_id,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,ground_truth_rank,top1,top3,top5,mrr
paired_residual,fault:land_detector_state_inversion__2019-01-25__17_38_05__fault,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,22.396470781348455,True,True,False,31.223844,1.2238439999999997,2.0,0.0,1.0,1.0,0.5
residual_gate_original_shap,fault:land_detector_state_inversion__2019-01-25__17_38_05__fault,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,22.396470781348455,True,True,False,31.223844,1.2238439999999997,3.0,0.0,1.0,1.0,0.3333333333333333
original_stage1_original_shap,fault:land_detector_state_inversion__2019-01-25__17_38_05__fault,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,0.3374776883274057,True,True,False,78.423844,48.423844,16.0,0.0,0.0,0.0,0.0625
paired_residual,normal:commander_nav_state_override__2019-03-06__08_02_26__baseline,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,commander_nav_state_override,17.025179862976074,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:commander_nav_state_override__2019-03-06__08_02_26__baseline,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,commander_nav_state_override,17.025179862976074,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:commander_nav_state_override__2019-03-06__08_02_26__baseline,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,commander_nav_state_override,0.3374776883274057,True,True,False,74.420426,44.420426000000006,,0.0,0.0,0.0,0.0
paired_residual,normal:ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,ekf2_innovation_bias,17.025179862976074,True,True,False,96.020228,66.020228,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,ekf2_innovation_bias,17.025179862976074,True,True,False,96.020228,66.020228,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,ekf2_innovation_bias,0.3374776883274057,True,True,False,80.820228,50.820228,,0.0,0.0,0.0,0.0
paired_residual,normal:inav_local_z_freeze__2019-03-06__08_02_26__baseline,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,inav_local_z_freeze,17.025179862976074,False,False,False,,,,0.0,0.0,0.0,0.0
