feature_index,feature,descriptor,channel,topic
1482,lag1__actuator_controls_0.control[3],lag1,actuator_controls_0.control[3],actuator_controls_0
1483,lag1__actuator_outputs.output[0],lag1,actuator_outputs.output[0],actuator_outputs
1484,lag1__actuator_outputs.output[1],lag1,actuator_outputs.output[1],actuator_outputs
1485,lag1__actuator_outputs.output[2],lag1,actuator_outputs.output[2],actuator_outputs
1486,lag1__actuator_outputs.output[3],lag1,actuator_outputs.output[3],actuator_outputs
1487,lag1__actuator_outputs.output[4],lag1,actuator_outputs.output[4],actuator_outputs
1488,lag1__actuator_outputs.output[5],lag1,actuator_outputs.output[5],actuator_outputs
1489,lag1__actuator_outputs.output[6],lag1,actuator_outputs.output[6],actuator_outputs
1490,lag1__actuator_outputs.output[7],lag1,actuator_outputs.output[7],actuator_outputs
1491,lag1__battery_status.current_a,lag1,battery_status.current_a,battery_status
1492,lag1__battery_status.current_filtered_a,lag1,battery_status.current_filtered_a,battery_status
1493,lag1__battery_status.discharged_mah,lag1,battery_status.discharged_mah,battery_status
1494,lag1__battery_status.remaining,lag1,battery_status.remaining,battery_status
1495,lag1__battery_status.voltage_filtered_v,lag1,battery_status.voltage_filtered_v,battery_status
1496,lag1__battery_status.voltage_v,lag1,battery_status.voltage_v,battery_status
1497,lag1__cpuload.load,lag1,cpuload.load,cpuload
1498,lag1__cpuload.ram_usage,lag1,cpuload.ram_usage,cpuload
1499,lag1__distance_sensor.current_distance,lag1,distance_sensor.current_distance,distance_sensor
1500,lag1__ekf2_innovations.hagl_innov,lag1,ekf2_innovations.hagl_innov,ekf2_innovations
1501,lag1__ekf2_innovations.heading_innov,lag1,ekf2_innovations.heading_innov,ekf2_innovations
1502,lag1__ekf2_innovations.output_tracking_error[0],lag1,ekf2_innovations.output_tracking_error[0],ekf2_innovations
1503,lag1__ekf2_innovations.output_tracking_error[1],lag1,ekf2_innovations.output_tracking_error[1],ekf2_innovations
1504,lag1__ekf2_innovations.output_tracking_error[2],lag1,ekf2_innovations.output_tracking_error[2],ekf2_innovations
1505,lag1__ekf2_innovations.vel_pos_innov[3],lag1,ekf2_innovations.vel_pos_innov[3],ekf2_innovations
1506,lag1__ekf2_innovations.vel_pos_innov[4],lag1,ekf2_innovations.vel_pos_innov[4],ekf2_innovations
1507,lag1__ekf2_innovations.vel_pos_innov[5],lag1,ekf2_innovations.vel_pos_innov[5],ekf2_innovations
1508,lag1__estimator_status.hagl_test_ratio,lag1,estimator_status.hagl_test_ratio,estimator_status
1509,lag1__estimator_status.hgt_test_ratio,lag1,estimator_status.hgt_test_ratio,estimator_status
1510,lag1__estimator_status.mag_test_ratio,lag1,estimator_status.mag_test_ratio,estimator_status
1511,lag1__estimator_status.pos_horiz_accuracy,lag1,estimator_status.pos_horiz_accuracy,estimator_status
1512,lag1__estimator_status.pos_test_ratio,lag1,estimator_status.pos_test_ratio,estimator_status
1513,lag1__estimator_status.pos_vert_accuracy,lag1,estimator_status.pos_vert_accuracy,estimator_status
1514,lag1__estimator_status.vibe[0],lag1,estimator_status.vibe[0],estimator_status
1515,lag1__estimator_status.vibe[1],lag1,estimator_status.vibe[1],estimator_status
1516,lag1__estimator_status.vibe[2],lag1,estimator_status.vibe[2],estimator_status
1517,lag1__manual_control_setpoint.r,lag1,manual_control_setpoint.r,manual_control_setpoint
1518,lag1__manual_control_setpoint.x,lag1,manual_control_setpoint.x,manual_control_setpoint
1519,lag1__manual_control_setpoint.y,lag1,manual_control_setpoint.y,manual_control_setpoint
1520,lag1__manual_control_setpoint.z,lag1,manual_control_setpoint.z,manual_control_setpoint
1521,lag1__rate_ctrl_status.pitchspeed_integ,lag1,rate_ctrl_status.pitchspeed_integ,rate_ctrl_status
1522,lag1__rate_ctrl_status.rollspeed_integ,lag1,rate_ctrl_status.rollspeed_integ,rate_ctrl_status
1523,lag1__rate_ctrl_status.yawspeed_integ,lag1,rate_ctrl_status.yawspeed_integ,rate_ctrl_status
1524,lag1__sensor_combined.accelerometer_m_s2[0],lag1,sensor_combined.accelerometer_m_s2[0],sensor_combined
1525,lag1__sensor_combined.accelerometer_m_s2[1],lag1,sensor_combined.accelerometer_m_s2[1],sensor_combined
1526,lag1__sensor_combined.accelerometer_m_s2[2],lag1,sensor_combined.accelerometer_m_s2[2],sensor_combined
1527,lag1__sensor_combined.gyro_rad[0],lag1,sensor_combined.gyro_rad[0],sensor_combined
1528,lag1__sensor_combined.gyro_rad[1],lag1,sensor_combined.gyro_rad[1],sensor_combined
1529,lag1__sensor_combined.gyro_rad[2],lag1,sensor_combined.gyro_rad[2],sensor_combined
1530,lag1__sensor_preflight.accel_inconsistency_m_s_s,lag1,sensor_preflight.accel_inconsistency_m_s_s,sensor_preflight
1531,lag1__sensor_preflight.gyro_inconsistency_rad_s,lag1,sensor_preflight.gyro_inconsistency_rad_s,sensor_preflight
1532,lag1__vehicle_attitude.pitchspeed,lag1,vehicle_attitude.pitchspeed,vehicle_attitude
1533,lag1__vehicle_attitude.q[0],lag1,vehicle_attitude.q[0],vehicle_attitude
1534,lag1__vehicle_attitude.q[1],lag1,vehicle_attitude.q[1],vehicle_attitude
1535,lag1__vehicle_attitude.q[2],lag1,vehicle_attitude.q[2],vehicle_attitude
1536,lag1__vehicle_attitude.q[3],lag1,vehicle_attitude.q[3],vehicle_attitude
1537,lag1__vehicle_attitude.rollspeed,lag1,vehicle_attitude.rollspeed,vehicle_attitude
1538,lag1__vehicle_attitude.yawspeed,lag1,vehicle_attitude.yawspeed,vehicle_attitude
1539,lag1__vehicle_attitude_setpoint.pitch_body,lag1,vehicle_attitude_setpoint.pitch_body,vehicle_attitude_setpoint
1540,lag1__vehicle_attitude_setpoint.roll_body,lag1,vehicle_attitude_setpoint.roll_body,vehicle_attitude_setpoint
1541,lag1__vehicle_attitude_setpoint.yaw_body,lag1,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint
1542,lag1__vehicle_land_detected.ground_contact,lag1,vehicle_land_detected.ground_contact,vehicle_land_detected
1543,lag1__vehicle_land_detected.landed,lag1,vehicle_land_detected.landed,vehicle_land_detected
1544,lag1__vehicle_land_detected.maybe_landed,lag1,vehicle_land_detected.maybe_landed,vehicle_land_detected
1545,lag1__vehicle_local_position.ax,lag1,vehicle_local_position.ax,vehicle_local_position
1546,lag1__vehicle_local_position.ay,lag1,vehicle_local_position.ay,vehicle_local_position
1547,lag1__vehicle_local_position.az,lag1,vehicle_local_position.az,vehicle_local_position
1548,lag1__vehicle_local_position.dist_bottom,lag1,vehicle_local_position.dist_bottom,vehicle_local_position
1549,lag1__vehicle_local_position.dist_bottom_rate,lag1,vehicle_local_position.dist_bottom_rate,vehicle_local_position
1550,lag1__vehicle_local_position.eph,lag1,vehicle_local_position.eph,vehicle_local_position
1551,lag1__vehicle_local_position.epv,lag1,vehicle_local_position.epv,vehicle_local_position
1552,lag1__vehicle_local_position.vx,lag1,vehicle_local_position.vx,vehicle_local_position
1553,lag1__vehicle_local_position.vy,lag1,vehicle_local_position.vy,vehicle_local_position
1554,lag1__vehicle_local_position.vz,lag1,vehicle_local_position.vz,vehicle_local_position
1555,lag1__vehicle_local_position.x,lag1,vehicle_local_position.x,vehicle_local_position
1556,lag1__vehicle_local_position.y,lag1,vehicle_local_position.y,vehicle_local_position
1557,lag1__vehicle_local_position.z,lag1,vehicle_local_position.z,vehicle_local_position
1558,lag1__vehicle_rates_setpoint.pitch,lag1,vehicle_rates_setpoint.pitch,vehicle_rates_setpoint
1559,lag1__vehicle_rates_setpoint.roll,lag1,vehicle_rates_setpoint.roll,vehicle_rates_setpoint
1560,lag1__vehicle_rates_setpoint.yaw,lag1,vehicle_rates_setpoint.yaw,vehicle_rates_setpoint
1561,lag1__vehicle_status.arming_state,lag1,vehicle_status.arming_state,vehicle_status
1562,lag1__vehicle_status.nav_state,lag1,vehicle_status.nav_state,vehicle_status
1563,lag1__vehicle_vision_position.x,lag1,vehicle_vision_position.x,vehicle_vision_position
1564,lag1__vehicle_vision_position.y,lag1,vehicle_vision_position.y,vehicle_vision_position
1565,lag1__vehicle_vision_position.z,lag1,vehicle_vision_position.z,vehicle_vision_position
