seed,best_iteration,val_auroc,val_auprc,val_best_f1,val_threshold,val_f1_at_threshold,val_positive_rate,val_event_precision,val_event_recall,val_event_f1,val_log_aware_event_precision,val_log_aware_event_recall,val_log_aware_event_f1,test_auroc,test_auprc,test_best_f1,test_threshold,test_f1_at_threshold,test_positive_rate,test_event_precision,test_event_recall,test_event_f1,test_log_aware_event_precision,test_log_aware_event_recall,test_log_aware_event_f1,test_at_val_threshold_auroc,test_at_val_threshold_auprc,test_at_val_threshold_best_f1,test_at_val_threshold_threshold,test_at_val_threshold_f1_at_threshold,test_at_val_threshold_positive_rate,test_at_val_threshold_event_precision,test_at_val_threshold_event_recall,test_at_val_threshold_event_f1,test_at_val_threshold_log_aware_event_precision,test_at_val_threshold_log_aware_event_recall,test_at_val_threshold_log_aware_event_f1
0,190,0.9723463782937668,0.7241993975286125,0.6837294332723948,0.8016150772511553,0.6837294332723949,0.028819119025304592,0.4,0.4,0.4000000000000001,0.4375,0.4666666666666667,0.45161290322580644,0.9424105006579734,0.5936413141323651,0.5989621942179393,0.5214672960242412,0.5989621942179392,0.08070800400756985,0.3392857142857143,0.6867469879518072,0.4541832669322709,0.3486238532110092,0.7307692307692307,0.47204968944099385,0.9424105006579734,0.5936413141323651,0.5989621942179393,0.8016150772511553,0.5291790306627102,0.0430813759323166,0.4588235294117647,0.46987951807228917,0.4642857142857143,0.49504950495049505,0.4807692307692308,0.4878048780487805
1,189,0.9694553875262987,0.7061977387811549,0.6881355932203389,0.7276584635265083,0.688135593220339,0.03385660731021556,0.5714285714285714,0.48,0.5217391304347826,0.5517241379310345,0.5333333333333333,0.5423728813559322,0.9444616590516594,0.6104369075068556,0.6148705096073517,0.6367964547240456,0.6148705096073517,0.06378715351218969,0.4,0.6506024096385542,0.4954128440366972,0.4226190476190476,0.6826923076923077,0.5220588235294118,0.9444616590516594,0.6104369075068556,0.6148705096073517,0.7276584635265083,0.5904936014625228,0.05232105087387287,0.49,0.5903614457831325,0.5355191256830601,0.5,0.5865384615384616,0.5398230088495575
2,176,0.971748089247136,0.6872907236938302,0.7111913357400722,0.8115959416794033,0.7111913357400722,0.029639175257731958,0.5,0.44,0.46808510638297873,0.5172413793103449,0.5,0.5084745762711865,0.9433194798482212,0.5997895542694726,0.5972108285479901,0.622831307215576,0.5972108285479901,0.06623622397862629,0.4140625,0.6385542168674698,0.5023696682464455,0.4107142857142857,0.6634615384615384,0.5073529411764706,0.9433194798482212,0.5997895542694726,0.5972108285479901,0.8115959416794033,0.5250501002004008,0.041634197929422245,0.5324675324675324,0.4939759036144578,0.5125,0.5531914893617021,0.5,0.5252525252525252
3,191,0.971001740807307,0.7089585415331044,0.6903553299492385,0.7385339656144949,0.6903553299492385,0.03397375820056232,0.5909090909090909,0.52,0.5531914893617023,0.5862068965517241,0.5666666666666667,0.576271186440678,0.9433424379833192,0.6012835328156755,0.6068340881020996,0.6110244641469103,0.6068340881020996,0.06573527774685517,0.36428571428571427,0.6144578313253012,0.45739910313901344,0.3728813559322034,0.6346153846153846,0.46975088967971534,0.9433424379833192,0.6012835328156755,0.6068340881020996,0.7385339656144949,0.5783582089552238,0.04987198040743627,0.4842105263157895,0.5542168674698795,0.5168539325842697,0.5043478260869565,0.5576923076923077,0.5296803652968036
4,201,0.9707064288840881,0.698808434581098,0.6845637583892618,0.6600899118417312,0.6845637583892618,0.034559512652296155,0.6,0.48,0.5333333333333332,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.9418463727872001,0.5980390361498485,0.5996758508914101,0.5816204159959406,0.5996758508914101,0.0679060447511967,0.4112903225806452,0.6144578313253012,0.4927536231884058,0.40119760479041916,0.6442307692307693,0.49446494464944646,0.9418463727872001,0.5980390361498485,0.5996758508914101,0.6600899118417312,0.5932128691053328,0.05682956695981298,0.44545454545454544,0.5903614457831325,0.5077720207253885,0.44366197183098594,0.6057692307692307,0.5121951219512195
