,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,28242,263,274,26,145
External Position,464,722,0,0,0
Global Position,131,31,273,0,20
Altitude,360,0,0,54,0
Mechanical/Electrical,179,12,0,0,243
