,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,27859,325,409,141,216
External Position,423,761,0,2,0
Global Position,99,42,289,0,25
Altitude,327,0,0,87,0
Mechanical/Electrical,114,11,0,0,309
