,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,27913,322,381,111,223
External Position,428,757,0,1,0
Global Position,96,42,291,0,26
Altitude,308,0,0,106,0
Mechanical/Electrical,126,10,0,0,298
