,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,28197,293,288,28,144
External Position,453,733,0,0,0
Global Position,124,18,288,0,25
Altitude,366,0,0,48,0
Mechanical/Electrical,173,12,0,0,249
