,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,28193,298,288,21,150
External Position,461,725,0,0,0
Global Position,122,23,285,0,25
Altitude,357,0,0,57,0
Mechanical/Electrical,166,12,0,0,256
