,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,28218,285,276,26,145
External Position,450,736,0,0,0
Global Position,111,30,290,0,24
Altitude,366,0,0,48,0
Mechanical/Electrical,173,12,0,0,249
