,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,27901,322,383,115,229
External Position,415,770,0,1,0
Global Position,106,37,285,0,27
Altitude,327,0,0,87,0
Mechanical/Electrical,110,11,0,0,313
