,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,28220,283,272,26,149
External Position,448,738,0,0,0
Global Position,121,24,288,0,22
Altitude,354,0,0,60,0
Mechanical/Electrical,173,12,0,0,249
