,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,27911,333,383,108,215
External Position,422,763,0,1,0
Global Position,97,42,290,0,26
Altitude,325,0,0,89,0
Mechanical/Electrical,121,10,0,0,303
