,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,27880,339,389,125,217
External Position,421,764,0,1,0
Global Position,98,41,290,0,26
Altitude,320,0,0,94,0
Mechanical/Electrical,117,11,0,0,306
