method,pair_id,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,ground_truth_rank,top1,top3,top5,mrr
residual_gate_original_shap,normal:land_detector_state_inversion__2019-01-25__17_38_05__baseline,land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,land_detector_state_inversion,3.0,True,True,False,40.019415,10.019415000000002,,0.0,0.0,0.0,0.0
paired_residual,fault:commander_nav_state_override__2019-01-25__17_38_05__fault,commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,commander_nav_state_override,3.0,True,True,False,31.227716,1.227716000000001,1.0,1.0,1.0,1.0,1.0
residual_gate_original_shap,fault:commander_nav_state_override__2019-01-25__17_38_05__fault,commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,commander_nav_state_override,3.0,True,True,False,31.227716,1.227716000000001,9.0,0.0,0.0,0.0,0.1111111111111111
paired_residual,fault:ekf2_innovation_bias__2019-01-25__17_38_05__fault,ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,ekf2_innovation_bias,3.0,True,True,True,16.016725,2.816724999999998,1.0,1.0,1.0,1.0,1.0
residual_gate_original_shap,fault:ekf2_innovation_bias__2019-01-25__17_38_05__fault,ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,ekf2_innovation_bias,3.0,True,True,True,16.016725,2.816724999999998,1.0,1.0,1.0,1.0,1.0
paired_residual,fault:inav_local_z_freeze__2019-01-25__17_38_05__fault,inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,inav_local_z_freeze,3.0,True,True,False,44.026572,14.026572000000002,2.0,0.0,1.0,1.0,0.5
residual_gate_original_shap,fault:inav_local_z_freeze__2019-01-25__17_38_05__fault,inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,inav_local_z_freeze,3.0,True,True,False,44.026572,14.026572000000002,7.0,0.0,0.0,0.0,0.14285714285714285
paired_residual,fault:land_detector_state_inversion__2019-01-25__17_38_05__fault,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,3.0,True,True,False,31.223844,1.2238439999999997,2.0,0.0,1.0,1.0,0.5
residual_gate_original_shap,fault:land_detector_state_inversion__2019-01-25__17_38_05__fault,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,3.0,True,True,False,31.223844,1.2238439999999997,3.0,0.0,1.0,1.0,0.3333333333333333
paired_residual,normal:commander_nav_state_override__2019-03-06__08_02_26__baseline,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,commander_nav_state_override,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:commander_nav_state_override__2019-03-06__08_02_26__baseline,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,commander_nav_state_override,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,normal:ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,ekf2_innovation_bias,3.0,True,True,False,36.020228,6.020228000000003,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,ekf2_innovation_bias,3.0,True,True,False,36.020228,6.020228000000003,,0.0,0.0,0.0,0.0
paired_residual,normal:inav_local_z_freeze__2019-03-06__08_02_26__baseline,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:inav_local_z_freeze__2019-03-06__08_02_26__baseline,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,normal:land_detector_state_inversion__2019-03-06__08_02_26__baseline,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,land_detector_state_inversion,3.0,True,True,False,96.019843,66.019843,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:land_detector_state_inversion__2019-03-06__08_02_26__baseline,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,land_detector_state_inversion,3.0,True,True,False,96.019843,66.019843,,0.0,0.0,0.0,0.0
paired_residual,fault:commander_nav_state_override__2019-03-06__08_02_26__fault,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,commander_nav_state_override,3.0,True,True,False,31.222125,1.2221249999999984,1.0,1.0,1.0,1.0,1.0
residual_gate_original_shap,fault:commander_nav_state_override__2019-03-06__08_02_26__fault,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,commander_nav_state_override,3.0,True,True,False,31.222125,1.2221249999999984,26.0,0.0,0.0,0.0,0.038461538461538464
paired_residual,fault:ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,3.0,True,True,False,32.820043999999996,2.8200439999999958,1.0,1.0,1.0,1.0,1.0
residual_gate_original_shap,fault:ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,3.0,True,True,False,32.820043999999996,2.8200439999999958,2.0,0.0,1.0,1.0,0.5
paired_residual,fault:inav_local_z_freeze__2019-03-06__08_02_26__fault,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,3.0,True,True,False,44.026177,14.026176999999997,2.0,0.0,1.0,1.0,0.5
residual_gate_original_shap,fault:inav_local_z_freeze__2019-03-06__08_02_26__fault,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,3.0,True,True,False,44.026177,14.026176999999997,20.0,0.0,0.0,0.0,0.05
paired_residual,fault:land_detector_state_inversion__2019-03-06__08_02_26__fault,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,3.0,True,True,False,31.213741,1.2137409999999988,2.0,0.0,1.0,1.0,0.5
residual_gate_original_shap,fault:land_detector_state_inversion__2019-03-06__08_02_26__fault,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,3.0,True,True,False,31.213741,1.2137409999999988,,0.0,0.0,0.0,0.0
