mode,run_id,held_out_source,threshold,calibration_run_ids,fault_data_used_in_fit
fixed_all,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_all,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_all,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_all,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_all,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_all,inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_all,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_all,land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_all,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_all,commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_all,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_all,ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_all,inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_all,inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_all,land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_all,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_all,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_all,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_all,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_all,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_all,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_all,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_all,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_all,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_fresh,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_fresh,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_fresh,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_fresh,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_fresh,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_fresh,inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_fresh,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_fresh,land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.3374776883274057,,False
fixed_fresh,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_fresh,commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_fresh,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_fresh,ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_fresh,inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_fresh,inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_fresh,land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_fresh,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,0.3374776883274057,,False
fixed_fresh,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_fresh,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_fresh,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_fresh,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_fresh,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_fresh,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_fresh,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,0.3374776883274057,,False
fixed_fresh,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,0.3374776883274057,,False
calibrated_fresh,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.025892906284615193,commander_nav_state_override__2019-01-25__17_38_05__baseline;ekf2_innovation_bias__2019-01-25__17_38_05__baseline;inav_local_z_freeze__2019-01-25__17_38_05__baseline;land_detector_state_inversion__2019-01-25__17_38_05__baseline;commander_nav_state_override__2019-03-06__08_02_26__baseline;ekf2_innovation_bias__2019-03-06__08_02_26__baseline;inav_local_z_freeze__2019-03-06__08_02_26__baseline;land_detector_state_inversion__2019-03-06__08_02_26__baseline,False
calibrated_fresh,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.025892906284615193,commander_nav_state_override__2019-01-25__17_38_05__baseline;ekf2_innovation_bias__2019-01-25__17_38_05__baseline;inav_local_z_freeze__2019-01-25__17_38_05__baseline;land_detector_state_inversion__2019-01-25__17_38_05__baseline;commander_nav_state_override__2019-03-06__08_02_26__baseline;ekf2_innovation_bias__2019-03-06__08_02_26__baseline;inav_local_z_freeze__2019-03-06__08_02_26__baseline;land_detector_state_inversion__2019-03-06__08_02_26__baseline,False
calibrated_fresh,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.025892906284615193,commander_nav_state_override__2019-01-25__17_38_05__baseline;ekf2_innovation_bias__2019-01-25__17_38_05__baseline;inav_local_z_freeze__2019-01-25__17_38_05__baseline;land_detector_state_inversion__2019-01-25__17_38_05__baseline;commander_nav_state_override__2019-03-06__08_02_26__baseline;ekf2_innovation_bias__2019-03-06__08_02_26__baseline;inav_local_z_freeze__2019-03-06__08_02_26__baseline;land_detector_state_inversion__2019-03-06__08_02_26__baseline,False
calibrated_fresh,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.025892906284615193,commander_nav_state_override__2019-01-25__17_38_05__baseline;ekf2_innovation_bias__2019-01-25__17_38_05__baseline;inav_local_z_freeze__2019-01-25__17_38_05__baseline;land_detector_state_inversion__2019-01-25__17_38_05__baseline;commander_nav_state_override__2019-03-06__08_02_26__baseline;ekf2_innovation_bias__2019-03-06__08_02_26__baseline;inav_local_z_freeze__2019-03-06__08_02_26__baseline;land_detector_state_inversion__2019-03-06__08_02_26__baseline,False
calibrated_fresh,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.025892906284615193,commander_nav_state_override__2019-01-25__17_38_05__baseline;ekf2_innovation_bias__2019-01-25__17_38_05__baseline;inav_local_z_freeze__2019-01-25__17_38_05__baseline;land_detector_state_inversion__2019-01-25__17_38_05__baseline;commander_nav_state_override__2019-03-06__08_02_26__baseline;ekf2_innovation_bias__2019-03-06__08_02_26__baseline;inav_local_z_freeze__2019-03-06__08_02_26__baseline;land_detector_state_inversion__2019-03-06__08_02_26__baseline,False
calibrated_fresh,inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,0.025892906284615193,commander_nav_state_override__2019-01-25__17_38_05__baseline;ekf2_innovation_bias__2019-01-25__17_38_05__baseline;inav_local_z_freeze__2019-01-25__17_38_05__baseline;land_detector_state_inversion__2019-01-25__17_38_05__baseline;commander_nav_state_override__2019-03-06__08_02_26__baseline;ekf2_innovation_bias__2019-03-06__08_02_26__baseline;inav_local_z_freeze__2019-03-06__08_02_26__baseline;land_detector_state_inversion__2019-03-06__08_02_26__baseline,False
calibrated_fresh,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,0.025892906284615193,commander_nav_state_override__2019-01-25__17_38_05__baseline;ekf2_innovation_bias__2019-01-25__17_38_05__baseline;inav_local_z_freeze__2019-01-25__17_38_05__baseline;land_detector_state_inversion__2019-01-25__17_38_05__baseline;commander_nav_state_override__2019-03-06__08_02_26__baseline;ekf2_innovation_bias__2019-03-06__08_02_26__baseline;inav_local_z_freeze__2019-03-06__08_02_26__baseline;land_detector_state_inversion__2019-03-06__08_02_26__baseline,False
