method,seed,train_sample,input_channels,topic_aggregation,best_normal_validation_loss,auroc,auprc,best_f1,threshold,f1_at_threshold,positive_rate,event_precision,event_recall,event_f1,log_aware_event_precision,log_aware_event_recall,log_aware_event_f1
CATCH-official-model-adaptation,0,4096,18,True,0.04049045220017433,0.7229763967393832,0.19507563363183408,0.3073264110447242,0.08995527029037476,0.29682617990462096,0.25132857688129423,0.13125,0.7616580310880829,0.22391469916222392,0.15442690459849004,0.8522727272727273,0.26147588611272515
CATCH-official-model-adaptation,1,4096,18,True,0.06222173571586609,0.7264626199411275,0.19268580058719018,0.31025716819391075,0.12256283313035965,0.29832935560859186,0.26330778942423444,0.13557779799818018,0.772020725388601,0.23065015479876164,0.15680880330123798,0.8636363636363636,0.2654249126891735
CATCH-official-model-adaptation,2,4096,18,True,0.041880182921886444,0.7221723303406773,0.19132121478708025,0.307889076216499,0.094175785779953,0.2968251301864606,0.2438122082269004,0.1310466138962181,0.772020725388601,0.22406015037593982,0.15278733654507914,0.8409090909090909,0.2585905649388468
