method,seed,class_id,class,precision,recall,f1,support
stage2_lightgbm,0,1,External Position,0.9105960264900662,0.9666080843585237,0.9377664109121909,1707
stage2_lightgbm,0,2,Global Position,0.9078341013824884,0.921996879875195,0.9148606811145511,641
stage2_lightgbm,0,3,Altitude,0.9193548387096774,0.7985989492119089,0.8547328959700093,571
stage2_lightgbm,0,4,Mechanical/Electrical,0.9129082426127527,0.8594436310395315,0.8853695324283559,683
stage2_random_forest,0,1,External Position,0.8220918866080157,0.9853544229642648,0.896349586997069,1707
stage2_random_forest,0,2,Global Position,0.9412780656303973,0.8502340093603744,0.8934426229508197,641
stage2_random_forest,0,3,Altitude,0.9726651480637813,0.7478108581436077,0.8455445544554455,571
stage2_random_forest,0,4,Mechanical/Electrical,0.9516728624535316,0.7496339677891655,0.8386568386568387,683
majority,0,1,External Position,0.47390338700721824,1.0,0.6430589564889809,1707
majority,0,2,Global Position,0.0,0.0,0.0,641
majority,0,3,Altitude,0.0,0.0,0.0,571
majority,0,4,Mechanical/Electrical,0.0,0.0,0.0,683
stratified_random,0,1,External Position,0.4504297994269341,0.46045694200351495,0.45538818076477405,1707
stratified_random,0,2,Global Position,0.16896120150187735,0.21060842433697347,0.1875,641
stratified_random,0,3,Altitude,0.1528588098016336,0.22942206654991243,0.18347338935574228,571
stratified_random,0,4,Mechanical/Electrical,0.19402985074626866,0.05710102489019034,0.08823529411764706,683
hs_aerots_cascade,0,0,Normal,0.9672721213131145,0.9529172275667335,0.9600410174985942,30457
hs_aerots_cascade,0,1,External Position,0.6047745358090185,0.8014059753954306,0.6893424036281179,1707
hs_aerots_cascade,0,2,Global Position,0.5900537634408602,0.6848673946957878,0.6339350180505415,641
hs_aerots_cascade,0,3,Altitude,0.5968109339407744,0.45884413309982486,0.5188118811881188,571
hs_aerots_cascade,0,4,Mechanical/Electrical,0.6633825944170771,0.5915080527086384,0.6253869969040248,683
stage2_lightgbm,1,1,External Position,0.9116510215350635,0.9671939074399531,0.938601478112564,1707
stage2_lightgbm,1,2,Global Position,0.906060606060606,0.9329173166926678,0.9192928516525749,641
stage2_lightgbm,1,3,Altitude,0.9166666666666666,0.7898423817863398,0.8485418626528692,571
stage2_lightgbm,1,4,Mechanical/Electrical,0.9139280125195618,0.8550512445095169,0.8835098335854765,683
stage2_random_forest,1,1,External Position,0.8306930693069307,0.9830111306385472,0.90045613093641,1707
stage2_random_forest,1,2,Global Position,0.9462738301559792,0.8517940717628705,0.896551724137931,641
stage2_random_forest,1,3,Altitude,0.9619686800894854,0.7530647985989493,0.8447937131630648,571
stage2_random_forest,1,4,Mechanical/Electrical,0.9551971326164874,0.780380673499268,0.8589846897663175,683
majority,1,1,External Position,0.47390338700721824,1.0,0.6430589564889809,1707
majority,1,2,Global Position,0.0,0.0,0.0,641
majority,1,3,Altitude,0.0,0.0,0.0,571
majority,1,4,Mechanical/Electrical,0.0,0.0,0.0,683
stratified_random,1,1,External Position,0.4697057126370456,0.47685998828353837,0.47325581395348837,1707
stratified_random,1,2,Global Position,0.1642156862745098,0.20904836193447737,0.18393960192175704,641
stratified_random,1,3,Altitude,0.15264423076923078,0.2224168126094571,0.1810406272273699,571
stratified_random,1,4,Mechanical/Electrical,0.16289592760180996,0.0527086383601757,0.07964601769911504,683
hs_aerots_cascade,1,0,Normal,0.9638907175773536,0.961453852973044,0.9626707431332906,30457
hs_aerots_cascade,1,1,External Position,0.6428571428571429,0.7803163444639719,0.7049483990473671,1707
hs_aerots_cascade,1,2,Global Position,0.6332842415316642,0.6708268330733229,0.6515151515151515,641
hs_aerots_cascade,1,3,Altitude,0.63,0.4413309982486865,0.5190525231719877,571
hs_aerots_cascade,1,4,Mechanical/Electrical,0.7045454545454546,0.5446559297218155,0.6143682906688687,683
stage2_lightgbm,2,1,External Position,0.9093406593406593,0.9695371997656708,0.9384746243266232,1707
stage2_lightgbm,2,2,Global Position,0.8995433789954338,0.921996879875195,0.9106317411402157,641
stage2_lightgbm,2,3,Altitude,0.9180327868852459,0.7845884413309983,0.846081208687441,571
stage2_lightgbm,2,4,Mechanical/Electrical,0.9167974882260597,0.8550512445095169,0.8848484848484849,683
stage2_random_forest,2,1,External Position,0.8193768257059396,0.9859402460456942,0.894974740760436,1707
stage2_random_forest,2,2,Global Position,0.9538188277087034,0.8377535101404057,0.8920265780730897,641
stage2_random_forest,2,3,Altitude,0.9682539682539683,0.7478108581436077,0.8438735177865613,571
stage2_random_forest,2,4,Mechanical/Electrical,0.9503676470588235,0.7569546120058566,0.8427057864710676,683
majority,2,1,External Position,0.47390338700721824,1.0,0.6430589564889809,1707
majority,2,2,Global Position,0.0,0.0,0.0,641
majority,2,3,Altitude,0.0,0.0,0.0,571
majority,2,4,Mechanical/Electrical,0.0,0.0,0.0,683
stratified_random,2,1,External Position,0.47143681477207156,0.4786174575278266,0.475,1707
stratified_random,2,2,Global Position,0.16416040100250626,0.20436817472698907,0.18207088255733148,641
stratified_random,2,3,Altitude,0.15028901734104047,0.2276707530647986,0.181058495821727,571
stratified_random,2,4,Mechanical/Electrical,0.1941747572815534,0.05856515373352855,0.08998875140607424,683
hs_aerots_cascade,2,0,Normal,0.9618626142982656,0.970515809173589,0.9661698372229849,30457
hs_aerots_cascade,2,1,External Position,0.6881889763779527,0.7680140597539543,0.7259136212624585,1707
hs_aerots_cascade,2,2,Global Position,0.6803953871499177,0.6443057722308893,0.6618589743589743,641
hs_aerots_cascade,2,3,Altitude,0.7134328358208956,0.4185639229422067,0.5275938189845475,571
hs_aerots_cascade,2,4,Mechanical/Electrical,0.760914760914761,0.5358711566617862,0.6288659793814433,683
stage2_lightgbm,3,1,External Position,0.910989010989011,0.971294669009959,0.9401757867876382,1707
stage2_lightgbm,3,2,Global Position,0.903177004538578,0.9313572542901716,0.9170506912442397,641
