seed,best_iteration,val_auroc,val_auprc,val_best_f1,val_threshold,val_f1_at_threshold,val_positive_rate,val_event_precision,val_event_recall,val_event_f1,val_log_aware_event_precision,val_log_aware_event_recall,val_log_aware_event_f1,test_auroc,test_auprc,test_best_f1,test_threshold,test_f1_at_threshold,test_positive_rate,test_event_precision,test_event_recall,test_event_f1,test_log_aware_event_precision,test_log_aware_event_recall,test_log_aware_event_f1,test_at_val_threshold_auroc,test_at_val_threshold_auprc,test_at_val_threshold_best_f1,test_at_val_threshold_threshold,test_at_val_threshold_f1_at_threshold,test_at_val_threshold_positive_rate,test_at_val_threshold_event_precision,test_at_val_threshold_event_recall,test_at_val_threshold_event_f1,test_at_val_threshold_log_aware_event_precision,test_at_val_threshold_log_aware_event_recall,test_at_val_threshold_log_aware_event_f1
0,606,0.9717626549577978,0.8506745689960323,0.7792965750268777,0.3374776883274057,0.7792965750268775,0.1067272387827494,0.5673469387755102,0.7897727272727273,0.660332541567696,0.655367231638418,0.8721804511278195,0.7483870967741935,0.9512217204229839,0.7523668851991087,0.6891021051124159,0.4737001017108568,0.6891021051124159,0.09926891570509998,0.42201834862385323,0.7150259067357513,0.5307692307692308,0.4975369458128079,0.7651515151515151,0.6029850746268657,0.9512217204229839,0.7523668851991087,0.6891021051124159,0.3374776883274057,0.6844305120167189,0.11902874423794005,0.3822784810126582,0.7823834196891192,0.5136054421768708,0.4498977505112474,0.8333333333333334,0.5843293492695882
1,518,0.9706598074583218,0.846164775049265,0.7783063748810657,0.4322581929212498,0.7783063748810657,0.10034849710622938,0.600896860986547,0.7613636363636364,0.6716791979949875,0.696319018404908,0.8533834586466166,0.766891891891892,0.9508989398713001,0.7498944768615421,0.6918677639838193,0.45467963990994403,0.6918677639838192,0.104730027305558,0.4222873900293255,0.7461139896373057,0.5393258426966292,0.495260663507109,0.7916666666666666,0.60932944606414,0.9508989398713001,0.7498944768615421,0.6918677639838193,0.4322581929212498,0.6880922950144212,0.10801843859185531,0.41260744985673353,0.7461139896373057,0.5313653136531366,0.48498845265588914,0.7954545454545454,0.6025824964131994
2,562,0.9716632074505275,0.8495051758431557,0.784727863525589,0.5130316340219526,0.784727863525589,0.09565000933474392,0.6301369863013698,0.7840909090909091,0.6987341772151898,0.7238095238095238,0.8571428571428571,0.7848537005163512,0.9520974145524832,0.7579348969122915,0.7015978120051821,0.5073133523613227,0.7015978120051821,0.09821192636307584,0.47315436241610737,0.7305699481865285,0.5743380855397149,0.5384615384615384,0.7689393939393939,0.6333853354134166,0.9520974145524832,0.7579348969122915,0.7015978120051821,0.5130316340219526,0.7012987012987013,0.09771279250711999,0.47474747474747475,0.7305699481865285,0.5755102040816327,0.5398936170212766,0.7689393939393939,0.634375
3,513,0.9713620835708239,0.8491752362709765,0.7797986359207536,0.5045549101773533,0.7797986359207535,0.0957433567739125,0.6221198156682027,0.7670454545454546,0.6870229007633587,0.710691823899371,0.849624060150376,0.773972602739726,0.9506029581906439,0.7476694337927768,0.6870990734141126,0.5049537893513466,0.6870990734141126,0.10020846178689921,0.44904458598726116,0.7305699481865285,0.5562130177514794,0.5163727959697733,0.7765151515151515,0.6202723146747353,0.9506029581906439,0.7476694337927768,0.6870990734141126,0.5045549101773533,0.6866096866096866,0.10035526586218034,0.44761904761904764,0.7305699481865285,0.5551181102362205,0.5150753768844221,0.7765151515151515,0.6193353474320241
4,580,0.9716353938716096,0.8519218929251224,0.7848911651728553,0.4400677782481817,0.7848911651728553,0.09854377994897007,0.6355140186915887,0.7727272727272727,0.6974358974358975,0.7174603174603175,0.849624060150376,0.7779690189328745,0.951250269424364,0.7532960370019751,0.6923843416370107,0.48402388695548226,0.6923843416370107,0.10050206993746147,0.44694533762057875,0.7202072538860104,0.5515873015873015,0.5230769230769231,0.7727272727272727,0.6238532110091742,0.951250269424364,0.7532960370019751,0.6923843416370107,0.4400677782481817,0.6871794871794872,0.1060806247981444,0.38873239436619716,0.7150259067357513,0.5036496350364963,0.4691075514874142,0.7765151515151515,0.5848787446504993
