seed,failure_family,windows,auroc,auprc,best_f1,threshold,f1_at_threshold,positive_rate,event_precision,event_recall,event_f1,log_aware_event_precision,log_aware_event_recall,log_aware_event_f1
0,Aileron,1826,0.6168454227443734,0.3508380851651772,0.41822173435784854,0.4029508284247757,0.39085611833258627,0.9830230010952903,0.375,0.375,0.375,0.32,1.0,0.48484848484848486
0,Elevator,791,0.6970314055570639,0.10580725571205252,0.2337662337662338,0.4029508284247757,0.07304785894206549,0.9671302149178256,0.6666666666666666,1.0,0.8,0.14285714285714285,1.0,0.25
0,Engines,3559,0.7022116223538596,0.2931996930810678,0.3180788400543724,0.4029508284247757,0.22542330048016174,0.9859511098623209,0.5625,0.391304347826087,0.46153846153846156,0.4791666666666667,1.0,0.647887323943662
0,Rudder,783,0.7947069538197793,0.19527785340291737,0.2857142857142857,0.4029508284247757,0.12515337423312883,0.9757343550446999,0.5,0.6666666666666666,0.5714285714285715,0.1875,1.0,0.3157894736842105
1,Aileron,1826,0.6224506633225529,0.34693207461705083,0.425531914893617,0.4070906267307402,0.3901565995525727,0.9852135815991238,0.375,0.375,0.375,0.32,1.0,0.48484848484848486
1,Elevator,791,0.698253235586931,0.19431779681597416,0.25,0.4070906267307402,0.07332490518331226,0.9633375474083439,0.5,1.0,0.6666666666666666,0.13333333333333333,1.0,0.23529411764705882
1,Engines,3559,0.7029334274693483,0.28627369194372143,0.3168669336893636,0.4070906267307402,0.22462311557788944,0.9924135993256533,0.75,0.2608695652173913,0.3870967741935483,0.575,1.0,0.7301587301587301
1,Rudder,783,0.7655362691524698,0.20920160834065923,0.2727272727272727,0.4070906267307402,0.12530712530712532,0.9744572158365262,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2,1.0,0.33333333333333337
2,Aileron,1826,0.6114761401887664,0.3351911753315482,0.41566265060240964,0.43787194370174154,0.39243924392439244,0.9780941949616648,0.3333333333333333,0.375,0.35294117647058826,0.3076923076923077,1.0,0.47058823529411764
2,Elevator,791,0.7658159109421667,0.26514768825201873,0.358974358974359,0.43787194370174154,0.07332490518331226,0.9633375474083439,0.4,1.0,0.5714285714285715,0.125,1.0,0.2222222222222222
2,Engines,3559,0.707721305735409,0.2940930743564569,0.3177329325890941,0.43787194370174154,0.2251454591449532,0.9848271986513065,0.625,0.43478260869565216,0.5128205128205128,0.4791666666666667,1.0,0.647887323943662
2,Rudder,783,0.7793314046930248,0.2505912452968639,0.2571428571428572,0.43787194370174154,0.12561576354679804,0.9719029374201787,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2,1.0,0.33333333333333337
3,Aileron,1826,0.6215827338129496,0.36521339068738956,0.422927100723428,0.40112687532778,0.3906810035842294,0.9835706462212487,0.375,0.375,0.375,0.32,1.0,0.48484848484848486
3,Elevator,791,0.694270974748846,0.16703680227625697,0.2197802197802198,0.40112687532778,0.07341772151898734,0.9620733249051833,0.5,1.0,0.6666666666666666,0.13333333333333333,1.0,0.23529411764705882
3,Engines,3559,0.6943392110942738,0.2692316949584807,0.31201382886776147,0.40112687532778,0.22535211267605634,0.9912896881146389,0.7777777777777778,0.30434782608695654,0.43750000000000006,0.5609756097560976,1.0,0.71875
3,Rudder,783,0.7870459659273545,0.1985078480048559,0.25806451612903225,0.40112687532778,0.12530712530712532,0.9744572158365262,0.5,0.6666666666666666,0.5714285714285715,0.1875,1.0,0.3157894736842105
4,Aileron,1826,0.6069203352913999,0.3483736443457739,0.40911392405063285,0.3673428868011874,0.3891120035698349,0.988499452354874,0.5,0.375,0.42857142857142855,0.34782608695652173,1.0,0.5161290322580645
4,Elevator,791,0.6859896823241922,0.1852265449613598,0.23529411764705882,0.3673428868011874,0.07259073842302878,0.9734513274336283,0.3333333333333333,1.0,0.5,0.11764705882352941,1.0,0.21052631578947367
4,Engines,3559,0.692852550856408,0.2741652550199087,0.3085210577864838,0.3673428868011874,0.2252388134741076,0.9918516437201461,0.7,0.30434782608695654,0.42424242424242425,0.5476190476190477,1.0,0.7076923076923077
4,Rudder,783,0.7309278902817957,0.14862077428501,0.2311827956989247,0.3673428868011874,0.12454212454212454,0.9808429118773946,0.5,0.6666666666666666,0.5714285714285715,0.1875,1.0,0.3157894736842105
