calibration,primary,fault_runs,detected_runs,detector_recall,normal_runs,normal_false_alarm_runs,normal_false_alarm_rate,normal_source_flights,normal_false_alarm_source_flights,fault_pre_onset_alarm_runs,clean_fault_only_detected_runs,top1,top3,top5,mrr,delay_detected_n,misses,delay_median_s,delay_min_s,delay_max_s
2019-01-18__08_39_38,True,12,12,1.0,12,11,0.9166666666666666,3,3,10,1,0.5,0.75,0.75,0.636904761904762,12,0,2.023170999999998,0.41887599999999736,54.818601
2019-01-25__17_38_05,False,12,12,1.0,12,11,0.9166666666666666,3,3,8,1,0.5,0.75,0.8333333333333334,0.6674603174603174,12,0,2.023170999999998,0.41887599999999736,90.823047
2019-03-06__08_02_26,False,12,12,1.0,12,11,0.9166666666666666,3,3,11,0,0.5,0.75,1.0,0.6750000000000002,12,0,0.8222119999999986,0.41887599999999736,14.818600999999994
