calibration,primary,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,observation_end_s,residual_maximum,strongest_topic,ground_truth_rank,top1,top3,top5,mrr
2019-01-25__17_38_05,False,ekf2_innovation_bias__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,ekf2_innovation_bias,22.39647078134845,True,True,True,11.222598,0.42259799999999714,86.42259800000001,738.084282875061,estimator_status,1.0,1,1,1,1.0
2019-01-25__17_38_05,False,ekf2_innovation_bias__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,ekf2_innovation_bias,22.39647078134845,True,True,True,12.018876,0.41887599999999736,121.618876,879.5560073852539,estimator_status,1.0,1,1,1,1.0
2019-01-25__17_38_05,False,ekf2_innovation_bias__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,ekf2_innovation_bias,22.39647078134845,True,True,True,13.624724,2.024723999999999,140.824724,277.62790278013193,vehicle_local_position,1.0,1,1,1,1.0
2019-01-25__17_38_05,False,inav_local_z_freeze__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,inav_local_z_freeze,22.39647078134845,True,True,True,11.221414999999999,2.8214149999999947,87.22141500000001,45.75949668884277,vehicle_attitude,6.0,0,0,0,0.16666666666666666
2019-01-25__17_38_05,False,inav_local_z_freeze__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,inav_local_z_freeze,22.39647078134845,True,True,True,16.818601,54.818601,123.218601,52.31889486312866,vehicle_attitude,5.0,0,0,1,0.2
2019-01-25__17_38_05,False,inav_local_z_freeze__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,inav_local_z_freeze,22.39647078134845,True,True,True,14.423047,90.823047,141.62304699999999,79.52595233917236,vehicle_attitude,7.0,0,0,0,0.14285714285714285
2019-01-25__17_38_05,False,land_detector_state_inversion__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,land_detector_state_inversion,22.39647078134845,True,True,True,11.226123,1.2261229999999976,86.426123,171.76484525203705,vehicle_land_detected,2.0,0,1,1,0.5
2019-01-25__17_38_05,False,land_detector_state_inversion__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,land_detector_state_inversion,22.39647078134845,True,True,False,31.218301,1.2183010000000003,121.61830099999999,171.76484525203705,vehicle_land_detected,2.0,0,1,1,0.5
2019-01-25__17_38_05,False,land_detector_state_inversion__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,land_detector_state_inversion,22.39647078134845,True,True,False,30.424174999999998,0.4241749999999982,141.624175,171.76484525203705,vehicle_land_detected,2.0,0,1,1,0.5
2019-01-25__17_38_05,False,commander_nav_state_override__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,commander_nav_state_override,22.39647078134845,True,True,True,11.232558,2.0325580000000016,87.232558,122.51686096191406,vehicle_attitude,,0,0,0,0.0
2019-01-25__17_38_05,False,commander_nav_state_override__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,commander_nav_state_override,22.39647078134845,True,True,False,87.21589800000001,57.21589800000001,123.21589800000001,44.35056686401367,vehicle_attitude,,0,0,0,0.0
2019-01-25__17_38_05,False,commander_nav_state_override__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,commander_nav_state_override,22.39647078134845,True,True,False,104.016792,74.016792,140.81679200000002,79.52595233917236,vehicle_attitude,,0,0,0,0.0
2019-01-25__17_38_05,False,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,ekf2_innovation_bias,22.39647078134845,True,True,True,11.217917,0.4179169999999992,85.61791699999999,807.107971906662,estimator_status,,0,0,0,0.0
2019-01-25__17_38_05,False,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,ekf2_innovation_bias,22.39647078134845,True,True,True,12.018491,0.4184909999999995,121.61849099999999,797.7896881103516,estimator_status,,0,0,0,0.0
2019-01-25__17_38_05,False,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,ekf2_innovation_bias,22.39647078134845,True,True,True,17.620496000000003,8.420496,140.020496,157.9737663269043,vehicle_local_position,,0,0,0,0.0
2019-01-25__17_38_05,False,inav_local_z_freeze__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,inav_local_z_freeze,22.39647078134845,True,True,True,11.22951,42.82951,87.22951,122.13750839233398,vehicle_attitude,,0,0,0,0.0
2019-01-25__17_38_05,False,inav_local_z_freeze__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,inav_local_z_freeze,22.39647078134845,True,True,True,16.820272,54.820272,123.22027200000001,51.22225761413574,vehicle_attitude,,0,0,0,0.0
2019-01-25__17_38_05,False,inav_local_z_freeze__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,inav_local_z_freeze,22.39647078134845,True,False,True,11.21706,,141.61705999999998,32.343573570251465,manual_control_setpoint,,0,0,0,0.0
2019-01-25__17_38_05,False,land_detector_state_inversion__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,land_detector_state_inversion,22.39647078134845,True,True,True,11.231278999999999,27.631279,87.231279,125.06570816040039,vehicle_attitude,,0,0,0,0.0
2019-01-25__17_38_05,False,land_detector_state_inversion__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,land_detector_state_inversion,22.39647078134845,False,False,False,,,123.21819500000001,14.491291046142578,,,0,0,0,0.0
2019-01-25__17_38_05,False,land_detector_state_inversion__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,land_detector_state_inversion,22.39647078134845,True,True,False,50.416244,20.416244,141.616244,79.52595233917236,vehicle_attitude,,0,0,0,0.0
2019-03-06__08_02_26,False,commander_nav_state_override__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,commander_nav_state_override,17.025179862976074,True,True,False,31.224026,1.2240259999999985,87.22402600000001,65.4560375213623,vehicle_status,1.0,1,1,1,1.0
2019-03-06__08_02_26,False,commander_nav_state_override__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,commander_nav_state_override,17.025179862976074,True,True,True,11.222316,0.4223159999999986,123.222316,75.37318229675293,vehicle_status,1.0,1,1,1,1.0
2019-03-06__08_02_26,False,commander_nav_state_override__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,commander_nav_state_override,17.025179862976074,True,True,True,11.224953,1.2249529999999993,140.82495300000002,79.52595233917236,vehicle_status,1.0,1,1,1,1.0
2019-03-06__08_02_26,False,ekf2_innovation_bias__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,ekf2_innovation_bias,17.025179862976074,True,True,True,11.222598,0.42259799999999714,86.42259800000001,738.084282875061,estimator_status,1.0,1,1,1,1.0
2019-03-06__08_02_26,False,ekf2_innovation_bias__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,ekf2_innovation_bias,17.025179862976074,True,True,True,11.218876,0.41887599999999736,121.618876,879.5560073852539,estimator_status,1.0,1,1,1,1.0
2019-03-06__08_02_26,False,ekf2_innovation_bias__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,ekf2_innovation_bias,17.025179862976074,True,True,True,13.624724,0.42472399999999766,140.824724,226.73702062759057,vehicle_local_position,1.0,1,1,1,1.0
2019-03-06__08_02_26,False,inav_local_z_freeze__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,inav_local_z_freeze,17.025179862976074,True,True,True,11.221414999999999,2.8214149999999947,87.22141500000001,45.75949668884277,vehicle_attitude,5.0,0,0,1,0.2
2019-03-06__08_02_26,False,inav_local_z_freeze__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,inav_local_z_freeze,17.025179862976074,True,True,True,11.218601,14.818600999999994,123.218601,52.31889486312866,vehicle_attitude,5.0,0,0,1,0.2
2019-03-06__08_02_26,False,inav_local_z_freeze__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,inav_local_z_freeze,17.025179862976074,True,True,True,11.223047,5.223047000000001,141.62304699999999,79.52595233917236,vehicle_attitude,5.0,0,0,1,0.2
2019-03-06__08_02_26,False,land_detector_state_inversion__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,land_detector_state_inversion,17.025179862976074,True,True,True,11.226123,0.4261229999999969,86.426123,171.76484525203705,vehicle_land_detected,2.0,0,1,1,0.5
2019-03-06__08_02_26,False,land_detector_state_inversion__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,land_detector_state_inversion,17.025179862976074,True,True,True,11.218300999999999,1.2183010000000003,121.61830099999999,171.76484525203705,vehicle_land_detected,2.0,0,1,1,0.5
2019-03-06__08_02_26,False,land_detector_state_inversion__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,land_detector_state_inversion,17.025179862976074,True,True,True,11.224174999999999,0.4241749999999982,141.624175,171.76484525203705,vehicle_land_detected,2.0,0,1,1,0.5
2019-03-06__08_02_26,False,commander_nav_state_override__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,commander_nav_state_override,17.025179862976074,True,True,True,11.232558,0.4325580000000002,87.232558,122.51686096191406,vehicle_attitude,,0,0,0,0.0
2019-03-06__08_02_26,False,commander_nav_state_override__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,commander_nav_state_override,17.025179862976074,True,True,False,87.21589800000001,57.21589800000001,123.21589800000001,44.35056686401367,vehicle_attitude,,0,0,0,0.0
2019-03-06__08_02_26,False,commander_nav_state_override__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,commander_nav_state_override,17.025179862976074,True,True,True,11.216792,2.0167920000000024,140.81679200000002,79.52595233917236,vehicle_attitude,,0,0,0,0.0
2019-03-06__08_02_26,False,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,ekf2_innovation_bias,17.025179862976074,True,True,True,11.217917,0.4179169999999992,85.61791699999999,807.107971906662,estimator_status,,0,0,0,0.0
2019-03-06__08_02_26,False,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,ekf2_innovation_bias,17.025179862976074,True,True,True,11.218490999999998,0.4184909999999995,121.61849099999999,797.7896881103516,estimator_status,,0,0,0,0.0
2019-03-06__08_02_26,False,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,ekf2_innovation_bias,17.025179862976074,True,True,True,11.220495999999999,0.420496,140.020496,157.9737663269043,vehicle_local_position,,0,0,0,0.0
2019-03-06__08_02_26,False,inav_local_z_freeze__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,inav_local_z_freeze,17.025179862976074,True,True,True,11.22951,13.229510000000005,87.22951,122.13750839233398,vehicle_attitude,,0,0,0,0.0
2019-03-06__08_02_26,False,inav_local_z_freeze__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,inav_local_z_freeze,17.025179862976074,True,True,True,11.220272,54.820272,123.22027200000001,51.22225761413574,vehicle_attitude,,0,0,0,0.0
2019-03-06__08_02_26,False,inav_local_z_freeze__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,inav_local_z_freeze,17.025179862976074,True,True,True,11.21706,20.41706,141.61705999999998,48.05149793624878,vehicle_attitude,,0,0,0,0.0
2019-03-06__08_02_26,False,land_detector_state_inversion__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,land_detector_state_inversion,17.025179862976074,True,True,True,11.231278999999999,13.231279,87.231279,125.06570816040039,vehicle_attitude,,0,0,0,0.0
2019-03-06__08_02_26,False,land_detector_state_inversion__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,land_detector_state_inversion,17.025179862976074,False,False,False,,,123.21819500000001,14.491291046142578,,,0,0,0,0.0
2019-03-06__08_02_26,False,land_detector_state_inversion__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,land_detector_state_inversion,17.025179862976074,True,True,True,11.216244,2.0162440000000004,141.616244,79.52595233917236,vehicle_attitude,,0,0,0,0.0
