calibration,primary,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,observation_end_s,residual_maximum,strongest_topic,ground_truth_rank,top1,top3,top5,mrr
2019-01-18__08_39_38,True,commander_nav_state_override__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,commander_nav_state_override,26.47158145904541,True,True,False,32.024026,2.024025999999999,87.22402600000001,65.4560375213623,vehicle_status,1.0,1,1,1,1.0
2019-01-18__08_39_38,True,commander_nav_state_override__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,commander_nav_state_override,26.47158145904541,True,True,True,14.422316,2.0223159999999964,123.222316,75.37318229675293,vehicle_status,1.0,1,1,1,1.0
2019-01-18__08_39_38,True,commander_nav_state_override__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,commander_nav_state_override,26.47158145904541,True,True,True,11.224953,2.0249529999999965,140.82495300000002,79.52595233917236,vehicle_status,1.0,1,1,1,1.0
2019-01-18__08_39_38,True,ekf2_innovation_bias__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,ekf2_innovation_bias,26.47158145904541,True,True,True,11.222598,0.42259799999999714,86.42259800000001,738.084282875061,estimator_status,1.0,1,1,1,1.0
2019-01-18__08_39_38,True,ekf2_innovation_bias__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,ekf2_innovation_bias,26.47158145904541,True,True,True,12.018876,0.41887599999999736,121.618876,879.5560073852539,estimator_status,1.0,1,1,1,1.0
2019-01-18__08_39_38,True,ekf2_innovation_bias__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,ekf2_innovation_bias,26.47158145904541,True,True,True,13.624724,5.224724000000002,140.824724,226.73702062759057,vehicle_local_position,1.0,1,1,1,1.0
2019-01-18__08_39_38,True,inav_local_z_freeze__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,inav_local_z_freeze,26.47158145904541,True,True,True,11.221414999999999,2.8214149999999947,87.22141500000001,45.75949668884277,vehicle_attitude,,0,0,0,0.0
2019-01-18__08_39_38,True,inav_local_z_freeze__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,inav_local_z_freeze,26.47158145904541,True,True,True,16.818601,54.818601,123.218601,52.31889486312866,vehicle_attitude,,0,0,0,0.0
2019-01-18__08_39_38,True,inav_local_z_freeze__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,inav_local_z_freeze,26.47158145904541,True,True,True,13.623047,17.223047,141.62304699999999,79.52595233917236,vehicle_attitude,7.0,0,0,0,0.14285714285714285
2019-01-18__08_39_38,True,land_detector_state_inversion__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,land_detector_state_inversion,26.47158145904541,True,True,True,11.226123,1.2261229999999976,86.426123,171.76484525203705,vehicle_land_detected,2.0,0,1,1,0.5
2019-01-18__08_39_38,True,land_detector_state_inversion__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,land_detector_state_inversion,26.47158145904541,True,True,False,31.218301,1.2183010000000003,121.61830099999999,171.76484525203705,vehicle_land_detected,2.0,0,1,1,0.5
2019-01-18__08_39_38,True,land_detector_state_inversion__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,land_detector_state_inversion,26.47158145904541,True,True,True,11.224174999999999,0.4241749999999982,141.624175,171.76484525203705,vehicle_land_detected,2.0,0,1,1,0.5
2019-01-18__08_39_38,True,commander_nav_state_override__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,commander_nav_state_override,26.47158145904541,True,True,True,11.232558,2.832557999999999,87.232558,122.51686096191406,vehicle_attitude,,0,0,0,0.0
2019-01-18__08_39_38,True,commander_nav_state_override__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,commander_nav_state_override,26.47158145904541,True,True,False,89.615898,59.615898,123.21589800000001,44.35056686401367,vehicle_attitude,,0,0,0,0.0
2019-01-18__08_39_38,True,commander_nav_state_override__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,commander_nav_state_override,26.47158145904541,True,True,True,11.216792,74.016792,140.81679200000002,79.52595233917236,vehicle_attitude,,0,0,0,0.0
2019-01-18__08_39_38,True,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,ekf2_innovation_bias,26.47158145904541,True,True,True,11.217917,0.4179169999999992,85.61791699999999,807.107971906662,estimator_status,,0,0,0,0.0
2019-01-18__08_39_38,True,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,ekf2_innovation_bias,26.47158145904541,True,True,True,12.818491,0.4184909999999995,121.61849099999999,797.7896881103516,estimator_status,,0,0,0,0.0
2019-01-18__08_39_38,True,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,ekf2_innovation_bias,26.47158145904541,True,True,True,11.220495999999999,8.420496,140.020496,157.9737663269043,vehicle_local_position,,0,0,0,0.0
2019-01-18__08_39_38,True,inav_local_z_freeze__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,inav_local_z_freeze,26.47158145904541,True,True,True,11.22951,42.82951,87.22951,122.13750839233398,vehicle_attitude,,0,0,0,0.0
2019-01-18__08_39_38,True,inav_local_z_freeze__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,inav_local_z_freeze,26.47158145904541,True,True,True,16.820272,56.42027200000001,123.22027200000001,51.22225761413574,vehicle_attitude,,0,0,0,0.0
2019-01-18__08_39_38,True,inav_local_z_freeze__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,inav_local_z_freeze,26.47158145904541,True,False,True,11.21706,,141.61705999999998,48.05149793624878,sensor_combined,,0,0,0,0.0
2019-01-18__08_39_38,True,land_detector_state_inversion__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,land_detector_state_inversion,26.47158145904541,True,True,True,11.231278999999999,14.031278999999998,87.231279,125.06570816040039,vehicle_attitude,,0,0,0,0.0
2019-01-18__08_39_38,True,land_detector_state_inversion__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,land_detector_state_inversion,26.47158145904541,False,False,False,,,123.21819500000001,14.491291046142578,,,0,0,0,0.0
2019-01-18__08_39_38,True,land_detector_state_inversion__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,land_detector_state_inversion,26.47158145904541,True,True,True,11.216244,74.016244,141.616244,79.52595233917236,vehicle_attitude,,0,0,0,0.0
2019-01-25__17_38_05,False,commander_nav_state_override__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,commander_nav_state_override,22.39647078134845,True,True,False,32.024026,2.024025999999999,87.22402600000001,65.4560375213623,vehicle_status,1.0,1,1,1,1.0
2019-01-25__17_38_05,False,commander_nav_state_override__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,commander_nav_state_override,22.39647078134845,True,True,True,11.222316,2.0223159999999964,123.222316,75.37318229675293,vehicle_status,1.0,1,1,1,1.0
2019-01-25__17_38_05,False,commander_nav_state_override__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,commander_nav_state_override,22.39647078134845,True,True,False,32.024953,2.0249529999999965,140.82495300000002,79.52595233917236,vehicle_status,1.0,1,1,1,1.0
