run_id,condition,windows,start_us,duration_s,score_min,score_median,score_max,feature_finite,zero_feature_fraction,missing_topics
commander_nav_state_override__2019-01-18__08_39_38__baseline,baseline,74,2359,69.595074,0.001271218889177144,0.027784885393949663,0.9773189975800147,True,0.030271650961306133,
commander_nav_state_override__2019-01-25__17_38_05__baseline,baseline,105,1587,94.26459,0.0004562761594337192,0.013747270006117982,0.42072182187139984,True,0.022210058991668186,
commander_nav_state_override__2019-03-06__08_02_26__baseline,baseline,122,1628,107.868658,0.00037640681004981447,0.018513662237467976,0.7651547964684752,True,0.028908360027636457,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,baseline,73,2014,68.794409,0.0020040872783491205,0.12854717270733393,0.7597705360280393,True,0.07718819433510034,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,baseline,105,1201,94.263021,0.0006389277056605205,0.01766685520031936,0.1540895981680969,True,0.08284376330353342,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,baseline,109,1108,97.860017,0.0015501526199954417,0.012771683982891382,0.6789375048404679,True,0.08860885561296823,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,baseline,92,1244,83.788548,0.0038673970682229805,0.03741214393242949,0.8733419736378489,True,0.0695138541840191,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,baseline,121,1026,107.432895,0.000752856463213556,0.021767359721240328,0.7731157068258744,True,0.058954223531026036,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,baseline,128,1289,112.807339,0.0005420252339066028,0.008153565363965797,0.7816124750113806,True,0.06441570881226054,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,baseline,92,3660,84.211303,0.0004644597826514112,0.03743623325622533,0.9810070537006194,True,0.047150036093064576,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,baseline,123,3486,108.309844,0.0002757703835514361,0.010986944874038913,0.407674061766548,True,0.03939922540987862,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,baseline,126,3804,111.391456,0.00013376843919574126,0.003270665091856584,0.7058435743289776,True,0.035917006223519635,
