seed,val_auroc,val_auprc,val_best_f1,val_threshold,val_f1_at_threshold,val_positive_rate,val_event_precision,val_event_recall,val_event_f1,val_log_aware_event_precision,val_log_aware_event_recall,val_log_aware_event_f1,test_auroc,test_auprc,test_best_f1,test_threshold,test_f1_at_threshold,test_positive_rate,test_event_precision,test_event_recall,test_event_f1,test_log_aware_event_precision,test_log_aware_event_recall,test_log_aware_event_f1,test_at_val_threshold_auroc,test_at_val_threshold_auprc,test_at_val_threshold_best_f1,test_at_val_threshold_threshold,test_at_val_threshold_f1_at_threshold,test_at_val_threshold_positive_rate,test_at_val_threshold_event_precision,test_at_val_threshold_event_recall,test_at_val_threshold_event_f1,test_at_val_threshold_log_aware_event_precision,test_at_val_threshold_log_aware_event_recall,test_at_val_threshold_log_aware_event_f1
0,0.9329191561247562,0.5370995545400647,0.5795544948289579,0.2983400564538386,0.5795544948289578,0.05985424927660486,0.37272727272727274,0.6507936507936508,0.4739884393063584,0.37272727272727274,0.640625,0.47126436781609193,0.9157303118175932,0.5699331712900795,0.5669291338582677,0.22930855822772978,0.5669291338582677,0.08645313146092433,0.23157894736842105,0.6875,0.3464566929133858,0.23711340206185566,0.696969696969697,0.3538461538461538,0.9157303118175932,0.5699331712900795,0.5669291338582677,0.2983400564538386,0.552209276764124,0.06552371258627819,0.3162393162393162,0.578125,0.4088397790055248,0.3135593220338983,0.5606060606060606,0.40217391304347827
1,0.9287983009804841,0.5598532736235986,0.5823645143981397,0.23677518921644647,0.5823645143981399,0.07493837745150574,0.22439024390243903,0.7301587301587301,0.34328358208955223,0.22439024390243903,0.71875,0.3420074349442379,0.9082408747018835,0.5641146482149783,0.5597691673536686,0.2727369373805217,0.5597691673536686,0.07516142370940551,0.2676056338028169,0.59375,0.36893203883495146,0.26573426573426573,0.5757575757575758,0.36363636363636365,0.9082408747018835,0.5641146482149783,0.5597691673536686,0.23677518921644647,0.5551878528323925,0.08422659753808963,0.2578616352201258,0.640625,0.36771300448430494,0.2670807453416149,0.6515151515151515,0.37885462555066074
2,0.9351486916753683,0.5492382408049183,0.5737925726380604,0.27488735866008274,0.5737925726380604,0.064382166970314,0.35537190082644626,0.6825396825396826,0.4673913043478261,0.3524590163934426,0.671875,0.46236559139784944,0.9104282539200115,0.5586251723456823,0.5531307362839079,0.26024849226233493,0.5531307362839079,0.07678361271032794,0.23121387283236994,0.625,0.33755274261603374,0.2342857142857143,0.6212121212121212,0.34024896265560167,0.9104282539200115,0.5586251723456823,0.5531307362839079,0.27488735866008274,0.5504395144411888,0.07280765927669455,0.23214285714285715,0.609375,0.33620689655172414,0.22941176470588234,0.5909090909090909,0.3305084745762712
3,0.9339333479275126,0.5659738255730374,0.5790844808336435,0.25544847146429955,0.5790844808336435,0.06912442396313365,0.28125,0.7142857142857143,0.40358744394618834,0.2795031055900621,0.703125,0.4,0.915649090887643,0.5659228290512283,0.5489811912225705,0.2465816506659223,0.5489811912225705,0.08317694583161042,0.2094240837696335,0.625,0.3137254901960784,0.21761658031088082,0.6363636363636364,0.32432432432432434,0.915649090887643,0.5659228290512283,0.5489811912225705,0.25544847146429955,0.5475239616613419,0.08012341359457999,0.21390374331550802,0.625,0.3187250996015937,0.22340425531914893,0.6363636363636364,0.3307086614173228
4,0.9323438262164941,0.5314235460445171,0.5678638941398865,0.2566955109891436,0.5678638941398866,0.06687386132247347,0.2792207792207792,0.6825396825396826,0.3963133640552995,0.27741935483870966,0.671875,0.3926940639269406,0.9183453273852272,0.5639580594218703,0.5724740800975807,0.2653705520326965,0.5724740800975808,0.07729253474983301,0.26,0.609375,0.36448598130841126,0.2631578947368421,0.6060606060606061,0.3669724770642202,0.9183453273852272,0.5639580594218703,0.5724740800975807,0.2566955109891436,0.5710853023628354,0.07967810681001304,0.24528301886792453,0.609375,0.34977578475336324,0.24691358024691357,0.6060606060606061,0.3508771929824561
