group,run_id,signal,sustained_max
normal,commander_nav_state_override__2018-12-25__08_44_40__baseline,ekf2_innovations,0.0
normal,commander_nav_state_override__2018-12-25__08_44_40__baseline,vehicle_local_position,0.0
normal,commander_nav_state_override__2018-12-25__08_44_40__baseline,vehicle_land_detected,0.0
normal,commander_nav_state_override__2018-12-25__08_44_40__baseline,vehicle_local_position.z,0.0
normal,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,vehicle_status,0.0
normal,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,ekf2_innovations,5.084492537676697
normal,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,vehicle_local_position,167.81312942504883
normal,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,vehicle_land_detected,0.0
normal,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,vehicle_local_position.z,2.3459231853485107
normal,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,vehicle_status,0.0
normal,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,ekf2_innovations,0.19682638996117077
normal,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,vehicle_local_position,160.87531089782715
normal,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,vehicle_land_detected,0.0
normal,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,vehicle_local_position.z,14.821751713752747
normal,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,vehicle_status,0.0
normal,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,ekf2_innovations,1.6542479954659939
normal,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,vehicle_local_position,157.9737663269043
normal,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,vehicle_land_detected,0.0
normal,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,vehicle_local_position.z,6.536848545074463
normal,inav_local_z_freeze__2018-12-19__07_49_17__baseline,vehicle_status,0.0
normal,inav_local_z_freeze__2018-12-19__07_49_17__baseline,ekf2_innovations,0.0
normal,inav_local_z_freeze__2018-12-19__07_49_17__baseline,vehicle_local_position,2.309893207606118
normal,inav_local_z_freeze__2018-12-19__07_49_17__baseline,vehicle_land_detected,0.0
normal,inav_local_z_freeze__2018-12-19__07_49_17__baseline,vehicle_local_position.z,0.07597208023071289
normal,inav_local_z_freeze__2018-12-20__07_47_50__baseline,vehicle_status,0.0
normal,inav_local_z_freeze__2018-12-20__07_47_50__baseline,ekf2_innovations,0.0
normal,inav_local_z_freeze__2018-12-20__07_47_50__baseline,vehicle_local_position,0.7296502916825929
normal,inav_local_z_freeze__2018-12-20__07_47_50__baseline,vehicle_land_detected,0.0
normal,inav_local_z_freeze__2018-12-20__07_47_50__baseline,vehicle_local_position.z,0.03423810005187988
normal,inav_local_z_freeze__2018-12-25__08_44_40__baseline,vehicle_status,0.0
normal,inav_local_z_freeze__2018-12-25__08_44_40__baseline,ekf2_innovations,0.0
normal,inav_local_z_freeze__2018-12-25__08_44_40__baseline,vehicle_local_position,0.7014437631591547
normal,inav_local_z_freeze__2018-12-25__08_44_40__baseline,vehicle_land_detected,0.0
normal,inav_local_z_freeze__2018-12-25__08_44_40__baseline,vehicle_local_position.z,0.014269649982452393
normal,land_detector_state_inversion__2018-12-19__07_49_17__baseline,vehicle_status,0.0
normal,land_detector_state_inversion__2018-12-19__07_49_17__baseline,ekf2_innovations,0.0
normal,land_detector_state_inversion__2018-12-19__07_49_17__baseline,vehicle_local_position,0.0
normal,land_detector_state_inversion__2018-12-19__07_49_17__baseline,vehicle_land_detected,0.8207055926322937
normal,land_detector_state_inversion__2018-12-19__07_49_17__baseline,vehicle_local_position.z,0.0
normal,land_detector_state_inversion__2018-12-20__07_47_50__baseline,vehicle_status,0.0
normal,land_detector_state_inversion__2018-12-20__07_47_50__baseline,ekf2_innovations,0.0
normal,land_detector_state_inversion__2018-12-20__07_47_50__baseline,vehicle_local_position,0.0
normal,land_detector_state_inversion__2018-12-20__07_47_50__baseline,vehicle_land_detected,0.34773826599121094
normal,land_detector_state_inversion__2018-12-20__07_47_50__baseline,vehicle_local_position.z,0.0
normal,land_detector_state_inversion__2018-12-25__08_44_40__baseline,vehicle_status,0.0
normal,land_detector_state_inversion__2018-12-25__08_44_40__baseline,ekf2_innovations,0.0
normal,land_detector_state_inversion__2018-12-25__08_44_40__baseline,vehicle_local_position,0.0
normal,land_detector_state_inversion__2018-12-25__08_44_40__baseline,vehicle_land_detected,0.0975179672241211
normal,land_detector_state_inversion__2018-12-25__08_44_40__baseline,vehicle_local_position.z,0.0
