scope,windows_first,flight_logs_first,tp_mean,fn_mean,fp_mean,tn_mean,recall_mean,recall_std,precision_mean,precision_std
all_test,34059,1369,2488.8,1113.2,1129.6,29327.4,0.6909494725152693,0.022909746374776163,0.6897118405943321,0.031026476880634674
matching_commit,14419,561,937.2,455.8,532.2,12493.8,0.6727925340990668,0.02478177178501074,0.6397593618510768,0.030485479790075976
