seed,scope,topic,mean_abs_shap,scope_windows
2,false_positive,distance_sensor,0.031062420690090436,422
2,false_positive,ekf2_innovations,0.6037352127617941,422
2,false_positive,estimator_status,1.0054573158604947,422
2,false_positive,manual_control_setpoint,0.7450859176804153,422
2,false_positive,rate_ctrl_status,0.14831565176756917,422
2,false_positive,sensor_combined,0.1699499006840961,422
2,false_positive,sensor_preflight,0.15109665296658242,422
2,false_positive,vehicle_attitude,0.24826615458399287,422
2,false_positive,vehicle_attitude_setpoint,0.21628585150288587,422
2,false_positive,vehicle_land_detected,0.012640679165550037,422
2,false_positive,vehicle_local_position,1.0762209418840667,422
2,false_positive,vehicle_rates_setpoint,0.1026256406087603,422
2,false_positive,vehicle_status,0.020539411022824437,422
2,false_positive,vehicle_vision_position,0.10742886431569913,422
3,detected_true_anomaly,actuator_controls_0,0.8735081706720239,911
3,detected_true_anomaly,actuator_outputs,0.6366647169131968,911
3,detected_true_anomaly,battery_status,0.291528084868189,911
3,detected_true_anomaly,cpuload,0.4899944039905976,911
3,detected_true_anomaly,distance_sensor,0.01833831578608117,911
3,detected_true_anomaly,ekf2_innovations,0.5071043960586508,911
3,detected_true_anomaly,estimator_status,1.1757263712047303,911
3,detected_true_anomaly,manual_control_setpoint,0.9713335775933174,911
3,detected_true_anomaly,rate_ctrl_status,0.16210664677337364,911
3,detected_true_anomaly,sensor_combined,0.23008094219616856,911
3,detected_true_anomaly,sensor_preflight,0.12465417095079866,911
3,detected_true_anomaly,vehicle_attitude,0.3464053874924887,911
3,detected_true_anomaly,vehicle_attitude_setpoint,0.27215080508113454,911
3,detected_true_anomaly,vehicle_land_detected,0.014960047760734401,911
3,detected_true_anomaly,vehicle_local_position,1.1264408601575129,911
3,detected_true_anomaly,vehicle_rates_setpoint,0.10721827073199383,911
3,detected_true_anomaly,vehicle_status,0.01645704414864983,911
3,detected_true_anomaly,vehicle_vision_position,0.11696475621911046,911
3,false_positive,actuator_controls_0,0.8215325629517101,477
3,false_positive,actuator_outputs,0.5700206841306622,477
3,false_positive,battery_status,0.2967523451021791,477
3,false_positive,cpuload,0.4660000278284523,477
3,false_positive,distance_sensor,0.03109582169274184,477
3,false_positive,ekf2_innovations,0.6947717687656436,477
3,false_positive,estimator_status,1.1920860318985578,477
3,false_positive,manual_control_setpoint,0.8582869633788585,477
3,false_positive,rate_ctrl_status,0.17283341403412214,477
3,false_positive,sensor_combined,0.19383604605843888,477
3,false_positive,sensor_preflight,0.1770463590759229,477
3,false_positive,vehicle_attitude,0.29057012470576526,477
3,false_positive,vehicle_attitude_setpoint,0.22259711912518348,477
3,false_positive,vehicle_land_detected,0.016668756595716323,477
3,false_positive,vehicle_local_position,1.1850263228337288,477
3,false_positive,vehicle_rates_setpoint,0.1126203645011365,477
3,false_positive,vehicle_status,0.02418948131830852,477
3,false_positive,vehicle_vision_position,0.132557141552791,477
4,detected_true_anomaly,actuator_controls_0,0.9304882683406528,936
4,detected_true_anomaly,actuator_outputs,0.6231338964782033,936
4,detected_true_anomaly,battery_status,0.2774365141019719,936
4,detected_true_anomaly,cpuload,0.47736796002112963,936
4,detected_true_anomaly,distance_sensor,0.01775509142030443,936
4,detected_true_anomaly,ekf2_innovations,0.47464899419185663,936
4,detected_true_anomaly,estimator_status,1.1157804931411754,936
4,detected_true_anomaly,manual_control_setpoint,0.9253542404372468,936
4,detected_true_anomaly,rate_ctrl_status,0.15135022737688245,936
4,detected_true_anomaly,sensor_combined,0.23907840913713835,936
4,detected_true_anomaly,sensor_preflight,0.13118998561737344,936
4,detected_true_anomaly,vehicle_attitude,0.3475671342676776,936
4,detected_true_anomaly,vehicle_attitude_setpoint,0.279412814016891,936
4,detected_true_anomaly,vehicle_land_detected,0.011877450968553782,936
4,detected_true_anomaly,vehicle_local_position,1.1176702457119092,936
4,detected_true_anomaly,vehicle_rates_setpoint,0.10721490440300657,936
4,detected_true_anomaly,vehicle_status,0.015451892456723862,936
4,detected_true_anomaly,vehicle_vision_position,0.0948452559772329,936
4,false_positive,actuator_controls_0,0.8657113422654003,548
4,false_positive,actuator_outputs,0.5605284007902982,548
4,false_positive,battery_status,0.29573417526536866,548
4,false_positive,cpuload,0.4558071001399851,548
4,false_positive,distance_sensor,0.027484948300994832,548
4,false_positive,ekf2_innovations,0.6289803519359762,548
4,false_positive,estimator_status,1.1175775547109814,548
4,false_positive,manual_control_setpoint,0.8213905567944353,548
4,false_positive,rate_ctrl_status,0.1675889843899379,548
4,false_positive,sensor_combined,0.19864205810087668,548
4,false_positive,sensor_preflight,0.17255530116420653,548
4,false_positive,vehicle_attitude,0.2914008924757642,548
4,false_positive,vehicle_attitude_setpoint,0.23279740227228982,548
4,false_positive,vehicle_land_detected,0.01276863980519988,548
4,false_positive,vehicle_local_position,1.2260692446713595,548
4,false_positive,vehicle_rates_setpoint,0.11008817700882714,548
4,false_positive,vehicle_status,0.02442981281885276,548
4,false_positive,vehicle_vision_position,0.11054524309967738,548
