method,fault_runs,detected_runs,detector_recall,top1,top3,top5,mrr,normal_false_alarm_runs,normal_runs,normal_false_alarm_rate,fault_pre_onset_alarm_runs,clean_fault_only_detected_runs
paired_residual,12,12,1.0,0.5,1.0,1.0,0.75,8,12,0.6666666666666666,1,4
residual_gate_original_shap,12,12,1.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.31357369482369485,8,12,0.6666666666666666,1,4
