mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank
bidirectional,src/modules/ekf2,1.073070699097095,0.06482790641214144,5,0.14869948767875424,1
bidirectional,src/modules/commander,0.8968426383124577,0.051104328309938045,5,0.12427889509771983,2
bidirectional,src/modules/mavlink,0.3645651139576345,0.01410327244001277,5,0.05051917428801376,3
bidirectional,src/modules/vtol_att_control,0.3196032096371375,0.011652194372743585,5,0.044288632215488004,4
bidirectional,src/modules/sensors,0.25995297271306406,0.012716264298379309,5,0.036022672034123064,5
bidirectional,src/modules/mc_att_control,0.23192336345842451,0.012721988617900247,5,0.03213850248265958,6
bidirectional,src/modules/land_detector,0.21464155741504856,0.008922312049459862,5,0.02974369689624679,7
bidirectional,src/modules/fw_att_control,0.21245103765547713,0.011258252056388255,5,0.02944014824258162,8
bidirectional,src/modules/fw_pos_control_l1,0.18208434544586846,0.006969759072311112,5,0.025232120218084565,9
bidirectional,src/modules/mc_pos_control,0.18208434544586846,0.006969759072311112,5,0.025232120218084565,9
bidirectional,src/modules/events,0.1786418575195374,0.010353984405416638,5,0.024755081574296744,10
bidirectional,src/modules/position_estimator_inav,0.17832048634133052,0.0092562069207698,5,0.024710547947952934,11
bidirectional,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.161869192466231,0.007273627618809219,5,0.02243082959114914,12
bidirectional,src/modules/load_mon,0.15957819218987762,0.009167797024358413,5,0.022113356970144507,13
bidirectional,src/drivers/telemetry,0.14953646096463352,0.007532139684820787,5,0.020721836085399487,14
bidirectional,src/drivers/mkblctrl,0.14383363258280565,0.006038197793577438,5,0.01993157346858291,15
bidirectional,src/drivers/px4io,0.14383363258280565,0.006038197793577438,5,0.01993157346858291,15
bidirectional,src/platforms/qurt/fc_addon/uart_esc,0.14383363258280565,0.006038197793577438,5,0.01993157346858291,15
bidirectional,src/modules/gnd_att_control,0.13719266566093627,0.005107264989117418,5,0.01901130942651705,16
bidirectional,src/modules/navigator,0.12789240936200102,0.004252487229381299,5,0.01772253754215154,17
bidirectional,src/examples/uuv_example_app,0.12268313555376323,0.005679236322503274,5,0.017000668659593203,18
bidirectional,src/examples/rover_steering_control,0.12018521122374537,0.0038206605598606323,5,0.016654521785536825,19
bidirectional,src/modules/landing_target_estimator,0.10898583309765444,0.005033612912462522,5,0.015102581367191956,20
bidirectional,src/modules/wind_estimator,0.10898583309765444,0.005033612912462522,5,0.015102581367191956,20
bidirectional,src/examples/fixedwing_control,0.10862397264620878,0.005112782146463242,5,0.0150524369882741,21
bidirectional,src/modules/simulator,0.10468060382814048,0.00619055870379013,5,0.014505989374460284,22
bidirectional,src/platforms/posix/drivers/df_ltc2946_wrapper,0.10317859840482195,0.004137038671833221,5,0.014297850770800613,23
bidirectional,src/modules/gnd_pos_control,0.1031039712824636,0.0025910353873117914,5,0.014287509406647289,24
bidirectional,src/drivers/camera_trigger,0.09293269860260713,0.003807614231749654,5,0.012878037469888427,25
bidirectional,src/drivers/vmount,0.08667452093068918,0.0035933850642778753,5,0.012010817989941922,26
bidirectional,src/examples/hwtest,0.08514303852139662,0.002999125263696645,5,0.011798594648234385,27
bidirectional,src/drivers/linux_pwm_out,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28
bidirectional,src/drivers/pwm_out_sim,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28
bidirectional,src/drivers/px4fmu,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28
bidirectional,src/drivers/snapdragon_pwm_out,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28
bidirectional,src/drivers/tap_esc,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28
bidirectional,src/modules/uavcan,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28
bidirectional,src/examples/px4_simple_app,0.03754009703236661,0.002814582914278699,5,0.005202074011358819,29
bidirectional,src/modules/attitude_estimator_q,0.03754009703236661,0.002814582914278699,5,0.005202074011358819,29
bidirectional,src/modules/sdlog2,0.021486962537319288,0.0014583321899412005,5,0.0029775301140552903,30
bidirectional,src/platforms/qurt/tests/muorb,0.021486962537319288,0.0014583321899412005,5,0.0029775301140552903,30
bidirectional,src/templates/module,0.021486962537319288,0.0014583321899412005,5,0.0029775301140552903,30
bidirectional,src/drivers/blinkm,0.019063665329659786,0.0012437816328675778,5,0.002641724604152239,31
bidirectional,src/modules/gpio_led,0.019063665329659786,0.0012437816328675778,5,0.002641724604152239,31
bidirectional,src/drivers/batt_smbus,0.018035559883425343,0.0012739947790410308,5,0.0024992561225662315,32
bidirectional,src/modules/syslink,0.018035559883425343,0.0012739947790410308,5,0.0024992561225662315,32
bidirectional,src/modules/camera_feedback,0.016053134495047323,0.0013750634996627887,5,0.002224543897303529,33
bidirectional,src/modules/replay,0.016053134495047323,0.0013750634996627887,5,0.002224543897303529,33
bidirectional,src/drivers/distance_sensor,0.0020849716311141376,9.455014792538095e-05,5,0.00028892244810363227,34
bidirectional,src/drivers/px4flow,0.0020849716311141376,9.455014792538095e-05,5,0.00028892244810363227,34
bidirectional,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,0.0020849716311141376,9.455014792538095e-05,5,0.00028892244810363227,34
bidirectional,src/platforms/posix/drivers/df_isl29501_wrapper,0.0020849716311141376,9.455014792538095e-05,5,0.00028892244810363227,34
bidirectional,src/platforms/posix/drivers/df_trone_wrapper,0.0020849716311141376,9.455014792538095e-05,5,0.00028892244810363227,34
bidirectional,src/modules/logger,0.0010281054462344462,5.921614658790769e-05,5,0.00014246848158600795,35
consumer_only,src/modules/commander,1.6166117434614944,0.09334031507827534,5,0.24462220741677487,1
consumer_only,src/modules/simulator,0.6466931804848162,0.036428836754175534,5,0.09785621932501973,2
consumer_only,src/modules/land_detector,0.29695465213291883,0.01225287821002683,5,0.04493453842658253,3
consumer_only,src/modules/vtol_att_control,0.2705017077029825,0.009078727643709431,5,0.040931735845630944,4
consumer_only,src/modules/events,0.2693208299076137,0.015666183510170465,5,0.04075304796082439,5
consumer_only,src/modules/mc_att_control,0.23731117928194334,0.010728074177684984,5,0.03590941656549318,6
consumer_only,src/modules/fw_pos_control_l1,0.21962621775738445,0.008445458320860048,5,0.03323336627468235,7
consumer_only,src/modules/mc_pos_control,0.21962621775738445,0.008445458320860048,5,0.03323336627468235,7
consumer_only,src/drivers/telemetry,0.18942029184332074,0.009663372907683416,5,0.028662670618133185,8
consumer_only,src/modules/fw_att_control,0.1868708399225933,0.006845243144471867,5,0.02827689304409681,9
consumer_only,src/modules/gnd_att_control,0.18391116779941377,0.006733583937438565,5,0.02782904183249307,10
consumer_only,src/modules/position_estimator_inav,0.15725082444247845,0.011009225003869088,5,0.023794856092571155,11
consumer_only,src/examples/rover_steering_control,0.15615091779524998,0.004689518899640474,5,0.023628420587518285,12
consumer_only,src/drivers/mkblctrl,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13
consumer_only,src/drivers/px4io,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13
consumer_only,src/modules/sensors,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13
consumer_only,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13
consumer_only,src/platforms/posix/drivers/df_ltc2946_wrapper,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13
consumer_only,src/platforms/qurt/fc_addon/uart_esc,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13
consumer_only,src/modules/landing_target_estimator,0.13320490711935545,0.006152193559676423,5,0.020156279669546598,14
consumer_only,src/modules/wind_estimator,0.13320490711935545,0.006152193559676423,5,0.020156279669546598,14
consumer_only,src/modules/navigator,0.11654408152636601,0.004647450450871367,5,0.017635199422278154,15
