seed,scope,level,rank,name,mean_abs_shap,scope_windows,topic,feature_count
4,all,topic,7,ekf2_innovations,0.46517490824872604,1393,ekf2_innovations,144
4,all,topic,8,vehicle_attitude,0.3578461942757648,1393,vehicle_attitude,126
4,all,topic,9,battery_status,0.2873354353598109,1393,battery_status,108
4,all,topic,10,vehicle_attitude_setpoint,0.2660135980511173,1393,vehicle_attitude_setpoint,54
4,all,topic,11,sensor_combined,0.24123714426604698,1393,sensor_combined,108
4,all,topic,12,rate_ctrl_status,0.14667146964122887,1393,rate_ctrl_status,54
4,all,topic,13,sensor_preflight,0.13235025956497676,1393,sensor_preflight,36
4,all,topic,14,vehicle_rates_setpoint,0.10536467496229195,1393,vehicle_rates_setpoint,54
4,all,topic,15,vehicle_vision_position,0.09406257657918937,1393,vehicle_vision_position,54
4,all,topic,16,distance_sensor,0.01869580597581094,1393,distance_sensor,18
4,all,topic,17,vehicle_status,0.015818471278474903,1393,vehicle_status,36
4,all,topic,18,vehicle_land_detected,0.011132393608541085,1393,vehicle_land_detected,54
