mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank,mapped_topic_degree,degree_normalized_score,degree_normalized_share,degree_normalized_rank
producer_only,src/modules/position_estimator_inav,0.5111298423143392,0.02094187827462311,5,0.07082920608438635,4,1,0.5111298423143392,0.13650798674554065,1
producer_only,src/modules/load_mon,0.47873457656963286,0.027503391073075204,5,0.06634007091043352,5,1,0.47873457656963286,0.1278561489133504,2
producer_only,src/modules/ekf2,1.6406892160461417,0.09990594631670144,5,0.2273565442345966,1,4,0.4101723040115354,0.10954515037875681,3
producer_only,src/examples/hwtest,0.2341433559338407,0.008247594475165772,5,0.032446135282644555,7,1,0.2341433559338407,0.06253291332717095,4
producer_only,src/examples/uuv_example_app,0.2341433559338407,0.008247594475165772,5,0.032446135282644555,7,1,0.2341433559338407,0.06253291332717095,4
producer_only,src/modules/sensors,0.7477734933338909,0.034362868198842135,5,0.1036218167657197,3,4,0.18694337333347272,0.04992716413039778,5
producer_only,src/modules/mavlink,1.4922115976169033,0.05637592523204339,5,0.20678143598612178,2,10,0.14922115976169031,0.03985265271671572,6
producer_only,src/platforms/qurt/tests/muorb,0.11817829395525607,0.008020827044676604,5,0.016376415627304096,8,1,0.11817829395525607,0.031562001764188774,7
producer_only,src/modules/vtol_att_control,0.3339774360762927,0.011476289122866825,5,0.04628052343857263,6,3,0.1113258120254309,0.02973190217889522,8
producer_only,src/examples/px4_simple_app,0.08829223972276028,0.007562849248145335,5,0.01223499143516941,11,1,0.08829223972276028,0.02358030170031912,9
producer_only,src/modules/attitude_estimator_q,0.08829223972276028,0.007562849248145335,5,0.01223499143516941,11,1,0.08829223972276028,0.02358030170031912,9
producer_only,src/modules/fw_att_control,0.07278124608196868,0.0061024735569848556,5,0.010085574057810354,12,1,0.07278124608196868,0.01943776424889561,10
producer_only,src/modules/mc_att_control,0.07278124608196868,0.0061024735569848556,5,0.010085574057810354,12,1,0.07278124608196868,0.01943776424889561,10
producer_only,src/modules/gnd_pos_control,0.06496516969364349,0.0010219525891271926,5,0.009002470628017794,13,1,0.06496516969364349,0.01735031647400427,11
producer_only,src/modules/navigator,0.06496516969364349,0.0010219525891271926,5,0.009002470628017794,13,1,0.06496516969364349,0.01735031647400427,11
producer_only,src/drivers/linux_pwm_out,0.06455965346754995,0.0036460719263993573,5,0.00894627670238338,14,1,0.06455965346754995,0.017242014827271942,12
producer_only,src/drivers/mkblctrl,0.06455965346754995,0.0036460719263993573,5,0.00894627670238338,14,1,0.06455965346754995,0.017242014827271942,12
producer_only,src/drivers/pwm_out_sim,0.06455965346754995,0.0036460719263993573,5,0.00894627670238338,14,1,0.06455965346754995,0.017242014827271942,12
producer_only,src/drivers/px4fmu,0.06455965346754995,0.0036460719263993573,5,0.00894627670238338,14,1,0.06455965346754995,0.017242014827271942,12
producer_only,src/drivers/px4io,0.06455965346754995,0.0036460719263993573,5,0.00894627670238338,14,1,0.06455965346754995,0.017242014827271942,12
producer_only,src/drivers/snapdragon_pwm_out,0.06455965346754995,0.0036460719263993573,5,0.00894627670238338,14,1,0.06455965346754995,0.017242014827271942,12
producer_only,src/drivers/tap_esc,0.06455965346754995,0.0036460719263993573,5,0.00894627670238338,14,1,0.06455965346754995,0.017242014827271942,12
producer_only,src/modules/uavcan,0.06455965346754995,0.0036460719263993573,5,0.00894627670238338,14,1,0.06455965346754995,0.017242014827271942,12
producer_only,src/platforms/qurt/fc_addon/uart_esc,0.06455965346754995,0.0036460719263993573,5,0.00894627670238338,14,1,0.06455965346754995,0.017242014827271942,12
producer_only,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.10578379034395073,0.006534996124739198,5,0.014658862125391909,9,2,0.052891895171975366,0.01412589429799369,13
producer_only,src/drivers/telemetry,0.04122413687640078,0.0029119880663794973,5,0.0057125854230085284,15,1,0.04122413687640078,0.01100977376871544,14
producer_only,src/modules/syslink,0.04122413687640078,0.0029119880663794973,5,0.0057125854230085284,15,1,0.04122413687640078,0.01100977376871544,14
producer_only,src/platforms/posix/drivers/df_ltc2946_wrapper,0.04122413687640078,0.0029119880663794973,5,0.0057125854230085284,15,1,0.04122413687640078,0.01100977376871544,14
producer_only,src/examples/fixedwing_control,0.034868910448808556,0.0030839723542756855,5,0.004831917527910281,16,1,0.034868910448808556,0.009312476735510437,15
producer_only,src/modules/simulator,0.09325247557331921,0.006347718323343119,5,0.012922350180836888,10,3,0.03108415852443974,0.008301679042330229,16
producer_only,src/modules/commander,0.01644968713975114,0.000947458345406523,5,0.002279495705376127,17,1,0.01644968713975114,0.00439323531546114,17
producer_only,src/modules/land_detector,0.006520592098519744,0.0007565887495678433,5,0.0009035832450069401,18,1,0.006520592098519744,0.0017414614175675555,18
producer_only,src/drivers/distance_sensor,0.002345593085003405,0.00010636891641605352,5,0.0003250377541165863,19,1,0.002345593085003405,0.0006264400221835647,19
producer_only,src/drivers/px4flow,0.002345593085003405,0.00010636891641605352,5,0.0003250377541165863,19,1,0.002345593085003405,0.0006264400221835647,19
producer_only,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,0.002345593085003405,0.00010636891641605352,5,0.0003250377541165863,19,1,0.002345593085003405,0.0006264400221835647,19
producer_only,src/platforms/posix/drivers/df_isl29501_wrapper,0.002345593085003405,0.00010636891641605352,5,0.0003250377541165863,19,1,0.002345593085003405,0.0006264400221835647,19
producer_only,src/platforms/posix/drivers/df_trone_wrapper,0.002345593085003405,0.00010636891641605352,5,0.0003250377541165863,19,1,0.002345593085003405,0.0006264400221835647,19
consumer_only,src/modules/simulator,0.6466931804848162,0.036428836754175534,5,0.09785621932501973,2,2,0.3233465902424081,0.12707553995015025,1
