dataset,group,run_id,target_sha256,reference0_sha256,reference1_sha256
development,reference,inav_local_z_freeze__2019-03-06__08_02_26__fault,662f789d92dae120129d9bf2efc9f3f57695605aacbefba5bb01b09241da2581,ba9855426d293df5624e9f05fa56157b6007c837d5c0d9aec6189a2ec5976b50,5da9ac60b7ea250304daab200ce89b7484a62fb6b9d2cbcdfc1efea09d5faf5f
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2a5a393fb9b04e0ae23b478be38bb22c0f82fc8f27b0deea3fcd5e50e4151004,c97a599ea1c173445ec3d7ebe69d0f6e54fe0769917eec849dd0f3f784e9fd15,21304b2965e6217d0fa7fa61b16be23a2112e8f87b1d395ef1a345f55c598163
development,reference,land_detector_state_inversion__2019-01-18__08_39_38__fault,9db274c791ae6e528fb4dce0394f337d11fe5f315851dba6076696efe956ccb9,c97a599ea1c173445ec3d7ebe69d0f6e54fe0769917eec849dd0f3f784e9fd15,21304b2965e6217d0fa7fa61b16be23a2112e8f87b1d395ef1a345f55c598163
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,9624f70e982b9a0bc2162386e9ab7522960fc4976f321cbf80255a53e6f2a146,ea956bf128d787d63b3dcbeb1fcd9a3a619958c4372405b3b63df76cedced391,fbd0ba422833e707fe968b9e109081c3db194941ca32bbcde2f1ae4eb691667d
development,reference,land_detector_state_inversion__2019-01-25__17_38_05__fault,6723f59a458fd6ff8f607002768a4fef42d5affbf17c32bc8cb457515c498105,ea956bf128d787d63b3dcbeb1fcd9a3a619958c4372405b3b63df76cedced391,fbd0ba422833e707fe968b9e109081c3db194941ca32bbcde2f1ae4eb691667d
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,4aaae86bf1b2062159aedc50af188d34dabe3be6a9c1ba10ee87fc702c53ce43,aa2fd5cb97abafa4eeb0e69268ab787e1e7fbaced6b2ca47451e2eb74f9279b5,dada9938a6051b4904dcffb16a2f39ab6528a7924ccea51c52ba52f6a82be277
development,reference,land_detector_state_inversion__2019-03-06__08_02_26__fault,7fa3c4f20882355188732ee74c00652391bcd190aaf2ed25156548b58a96cf88,aa2fd5cb97abafa4eeb0e69268ab787e1e7fbaced6b2ca47451e2eb74f9279b5,dada9938a6051b4904dcffb16a2f39ab6528a7924ccea51c52ba52f6a82be277
transfer,normal,commander_nav_state_override__2018-12-19__07_49_17__baseline,571d6faf5b5360c2fc5167c136e6555144fec1b861bc2dccde4ed33c4dff56b0,1c6d12d71802ce580cb7dea146f03ecae87ca2b7c2464c28c8ca49947642a94e,137a15a1b7076db9cee867479a93378348fae6fba9d976fa37c425147c6c151a
transfer,reference,commander_nav_state_override__2018-12-19__07_49_17__fault,077f449d35232bafb29057239c814c2fff6427fcf27d478c28fdf3f4fdd3b102,1c6d12d71802ce580cb7dea146f03ecae87ca2b7c2464c28c8ca49947642a94e,137a15a1b7076db9cee867479a93378348fae6fba9d976fa37c425147c6c151a
transfer,normal,commander_nav_state_override__2018-12-20__07_47_50__baseline,3e951ee4881c96166754ca03c3aecb479ab2668de74b93b4f9e60a931e14b4f2,cc8d341cd5c907e3b79e71f11968a3e4d3df4358c0e53a96438343f151f5e258,32d7c1473a7836a4c05727fb93f750b20e9e968bc9f0a21d060e5ddaa907f7da
