,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,16361,209,69,26,53
External Position,108,313,5,0,11
Global Position,108,4,194,0,0
Altitude,99,6,0,56,0
Mechanical/Electrical,270,11,7,0,56
