,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,16479,145,49,17,28
External Position,143,277,1,0,16
Global Position,138,0,166,0,2
Altitude,105,0,0,56,0
Mechanical/Electrical,327,10,6,0,1
