,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,16424,180,65,22,27
External Position,116,299,5,0,17
Global Position,100,1,202,0,3
Altitude,86,7,0,68,0
Mechanical/Electrical,300,18,7,0,19
