,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,16370,216,82,24,26
External Position,111,303,5,0,18
Global Position,73,2,227,0,4
Altitude,93,2,0,66,0
Mechanical/Electrical,298,23,9,1,13
