,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,16442,169,62,18,27
External Position,121,292,5,0,19
Global Position,104,1,196,0,5
Altitude,99,4,0,58,0
Mechanical/Electrical,304,13,6,1,20
